"","Estimate","Std.err","Wald","Pr(>|W|)","LB95","UB95","LB90","UB90"
"(Intercept)","-0.602","0.157","14.723","0.000","-0.909","-0.294","-0.859","-0.344"
"c_age"," 0.006","0.013"," 0.259","0.611","-0.018"," 0.031","-0.014"," 0.027"
"c_is_male","-0.289","0.282"," 1.054","0.305","-0.841"," 0.263","-0.753"," 0.174"
"c_is_latino","-0.669","0.338"," 3.920","0.048","-1.331","-0.007","-1.225","-0.113"
"c_is_not_latino_and_black","-0.757","0.285"," 7.037","0.008","-1.316","-0.198","-1.226","-0.287"
"c_is_not_latino_and_other","-0.444","0.478"," 0.861","0.353","-1.382"," 0.494","-1.231"," 0.343"
"c_baseline_tobacco_history"," 0.057","0.017","10.985","0.001"," 0.023"," 0.091"," 0.029"," 0.086"
"c_has_partner"," 0.303","0.255"," 1.410","0.235","-0.197"," 0.804","-0.117"," 0.723"
"c_income_val","-0.059","0.039"," 2.371","0.124","-0.135"," 0.016","-0.123"," 0.004"
"c_any_prompt"," 0.096","0.086"," 1.268","0.260","-0.071"," 0.264","-0.044"," 0.237"
"Y","-0.379","0.154"," 6.065","0.014","-0.680","-0.077","-0.631","-0.126"
