"","Estimate","Std.err","Wald","Pr(>|W|)","LB95","UB95","LB90","UB90"
"(Intercept)"," 0.646","0.076","73.074","0.000"," 0.498"," 0.794"," 0.522"," 0.770"
"c_age"," 0.003","0.005"," 0.269","0.604","-0.007"," 0.013","-0.006"," 0.011"
"c_is_male"," 0.098","0.130"," 0.565","0.452","-0.157"," 0.353","-0.116"," 0.312"
"c_is_latino","-0.266","0.162"," 2.698","0.100","-0.583"," 0.051","-0.532"," 0.000"
"c_is_not_latino_and_black","-0.296","0.144"," 4.255","0.039","-0.577","-0.015","-0.532","-0.060"
"c_is_not_latino_and_other","-0.041","0.200"," 0.042","0.837","-0.433"," 0.350","-0.370"," 0.287"
"c_baseline_tobacco_history"," 0.042","0.014"," 8.437","0.004"," 0.013"," 0.070"," 0.018"," 0.065"
"c_has_partner"," 0.064","0.119"," 0.293","0.589","-0.169"," 0.298","-0.131"," 0.260"
"c_income_val","-0.028","0.024"," 1.332","0.249","-0.075"," 0.019","-0.067"," 0.012"
"c_any_prompt"," 0.017","0.053"," 0.099","0.754","-0.087"," 0.120","-0.070"," 0.103"
"Y","-0.218","0.080"," 7.414","0.006","-0.375","-0.061","-0.350","-0.086"
