"","Estimate","Std.err","Wald","Pr(>|W|)","LB95","UB95","LB90","UB90"
"(Intercept)"," 1.735","0.156","124.005","0.000"," 1.429","2.040"," 1.478"," 1.991"
"c_age"," 0.001","0.012","  0.011","0.915","-0.022","0.025","-0.018"," 0.021"
"c_is_male"," 0.474","0.262","  3.267","0.071","-0.040","0.989"," 0.043"," 0.906"
"c_is_latino"," 0.108","0.356","  0.093","0.761","-0.589","0.805","-0.477"," 0.693"
"c_is_not_latino_and_black"," 0.011","0.283","  0.001","0.969","-0.543","0.565","-0.454"," 0.476"
"c_is_not_latino_and_other"," 0.803","0.428","  3.526","0.060","-0.035","1.641"," 0.100"," 1.506"
"c_baseline_tobacco_history"," 0.063","0.027","  5.286","0.022"," 0.009","0.117"," 0.018"," 0.108"
"c_has_partner","-0.168","0.208","  0.650","0.420","-0.576","0.240","-0.510"," 0.175"
"c_income_val"," 0.013","0.062","  0.043","0.836","-0.108","0.134","-0.089"," 0.114"
"c_any_prompt","-0.043","0.135","  0.100","0.752","-0.307","0.222","-0.265"," 0.179"
"Y","-0.306","0.174","  3.077","0.079","-0.648","0.036","-0.593","-0.019"
