"","Estimate","Std.err","Wald","Pr(>|W|)","LB95","UB95","LB90","UB90"
"(Intercept)"," 0.436","0.047","84.404","0.000"," 0.343"," 0.529"," 0.358"," 0.514"
"c_age"," 0.001","0.003"," 0.093","0.760","-0.005"," 0.007","-0.004"," 0.006"
"c_is_male"," 0.068","0.079"," 0.738","0.390","-0.087"," 0.224","-0.062"," 0.199"
"c_is_latino","-0.104","0.086"," 1.483","0.223","-0.272"," 0.064","-0.245"," 0.037"
"c_is_not_latino_and_black","-0.178","0.082"," 4.742","0.029","-0.339","-0.018","-0.313","-0.044"
"c_is_not_latino_and_other","-0.010","0.093"," 0.011","0.916","-0.192"," 0.173","-0.163"," 0.143"
"c_baseline_tobacco_history"," 0.023","0.007","12.211","0.000"," 0.010"," 0.036"," 0.012"," 0.034"
"c_has_partner"," 0.080","0.064"," 1.581","0.209","-0.045"," 0.205","-0.025"," 0.185"
"c_income_val","-0.018","0.012"," 2.242","0.134","-0.043"," 0.006","-0.039"," 0.002"
"c_any_prompt"," 0.025","0.037"," 0.457","0.499","-0.047"," 0.097","-0.036"," 0.086"
"c_cigarette_counts"," 0.212","0.041","26.329","0.000"," 0.131"," 0.292"," 0.144"," 0.279"
"Y","-0.106","0.051"," 4.294","0.038","-0.207","-0.006","-0.191","-0.022"
