"","Estimate","Std.err","Wald","Pr(>|W|)","LB95","UB95","LB90","UB90"
"(Intercept)"," 1.293","0.080","259.118","0.000"," 1.135","1.450"," 1.161"," 1.425"
"c_age","-0.005","0.006","  0.735","0.391","-0.018","0.007","-0.016"," 0.005"
"c_is_male"," 0.184","0.129","  2.023","0.155","-0.069","0.437","-0.029"," 0.397"
"c_is_latino"," 0.185","0.204","  0.820","0.365","-0.215","0.585","-0.151"," 0.520"
"c_is_not_latino_and_black"," 0.059","0.175","  0.115","0.734","-0.283","0.402","-0.228"," 0.347"
"c_is_not_latino_and_other"," 0.540","0.209","  6.665","0.010"," 0.130","0.950"," 0.196"," 0.884"
"c_baseline_tobacco_history"," 0.046","0.015","  9.782","0.002"," 0.017","0.074"," 0.022"," 0.070"
"c_has_partner","-0.001","0.131","  0.000","0.995","-0.257","0.255","-0.216"," 0.214"
"c_income_val","-0.009","0.036","  0.063","0.802","-0.080","0.062","-0.069"," 0.050"
"c_any_prompt"," 0.044","0.091","  0.234","0.628","-0.134","0.222","-0.105"," 0.193"
"c_cigarette_counts"," 0.140","0.053","  6.956","0.008"," 0.036","0.243"," 0.053"," 0.227"
"Y","-0.197","0.111","  3.173","0.075","-0.414","0.020","-0.379","-0.015"
