"","estimate","LB95","UB95","LB90","UB90"
"(Intercept)","0.548","0.403","0.745","0.423","0.709"
"c_age","1.006","0.982","1.032","0.986","1.028"
"c_is_male","0.749","0.431","1.301","0.471","1.190"
"c_is_latino","0.512","0.264","0.993","0.294","0.893"
"c_is_not_latino_and_black","0.469","0.268","0.821","0.293","0.750"
"c_is_not_latino_and_other","0.641","0.251","1.638","0.292","1.409"
"c_baseline_tobacco_history","1.059","1.024","1.096","1.029","1.090"
"c_has_partner","1.354","0.821","2.234","0.890","2.061"
"c_income_val","0.942","0.874","1.016","0.884","1.004"
"c_any_prompt","1.101","0.931","1.302","0.957","1.268"
"Y","0.685","0.507","0.926","0.532","0.882"
