"","estimate","LB95","UB95","LB90","UB90"
"(Intercept)","0.363","0.275","0.479","0.288","0.459"
"c_age","1.008","0.987","1.030","0.991","1.026"
"c_is_male","0.906","0.561","1.463","0.606","1.354"
"c_is_latino","0.651","0.381","1.111","0.415","1.020"
"c_is_not_latino_and_black","0.469","0.299","0.734","0.321","0.683"
"c_is_not_latino_and_other","0.749","0.390","1.438","0.433","1.295"
"c_baseline_tobacco_history","1.054","1.025","1.084","1.030","1.079"
"c_has_partner","1.432","0.966","2.123","1.029","1.993"
"c_income_val","0.952","0.887","1.022","0.897","1.010"
"c_any_prompt","1.076","0.859","1.347","0.891","1.299"
"c_substance_is_cigarettes","5.141","3.136","8.428","3.396","7.784"
"Y","0.840","0.618","1.141","0.650","1.086"
