"","Estimate","Std.err","Wald","Pr(>|W|)","LB95","UB95","LB90","UB90"
"(Intercept)"," 1.038","0.802","1.676","0.195","-0.534"," 2.611","-0.281"," 2.358"
"c_age"," 0.019","0.041","0.221","0.638","-0.061"," 0.100","-0.048"," 0.087"
"c_is_male","-0.335","1.424","0.055","0.814","-3.126"," 2.457","-2.677"," 2.008"
"c_is_latino"," 0.239","1.307","0.034","0.855","-2.323"," 2.802","-1.911"," 2.390"
"c_is_not_latino_and_black"," 1.652","1.389","1.414","0.234","-1.071"," 4.375","-0.633"," 3.937"
"c_is_not_latino_and_other","-1.211","1.218","0.989","0.320","-3.599"," 1.176","-3.215"," 0.792"
"c_baseline_tobacco_history"," 0.046","0.065","0.501","0.479","-0.081"," 0.173","-0.061"," 0.153"
"c_has_partner"," 1.008","1.034","0.951","0.329","-1.019"," 3.036","-0.693"," 2.710"
"c_income_val","-0.051","0.151","0.112","0.737","-0.346"," 0.245","-0.299"," 0.197"
"c_any_prompt_counts","-1.066","0.407","6.862","0.009","-1.863","-0.268","-1.735","-0.396"
"c_any_nic"," 4.454","1.756","6.431","0.011"," 1.012"," 7.897"," 1.565"," 7.344"
"n_engaged","-0.227","0.166","1.869","0.172","-0.552"," 0.098","-0.500"," 0.046"
