"","Estimate","Std.err","Wald","Pr(>|W|)","LB95","UB95","LB90","UB90"
"(Intercept)"," 4.513","0.937","23.185","0.000"," 2.676"," 6.350"," 2.971"," 6.055"
"c_age"," 0.016","0.057"," 0.077","0.781","-0.096"," 0.128","-0.078"," 0.110"
"c_is_male"," 0.185","1.204"," 0.024","0.878","-2.174"," 2.545","-1.795"," 2.165"
"c_is_latino","-1.673","1.107"," 2.284","0.131","-3.843"," 0.497","-3.494"," 0.148"
"c_is_not_latino_and_black","-3.024","1.217"," 6.174","0.013","-5.410","-0.639","-5.026","-1.022"
"c_is_not_latino_and_other"," 3.353","2.100"," 2.549","0.110","-0.763"," 7.470","-0.101"," 6.808"
"c_baseline_tobacco_history"," 0.305","0.089","11.843","0.001"," 0.131"," 0.479"," 0.159"," 0.451"
"c_has_partner"," 1.535","1.266"," 1.470","0.225","-0.946"," 4.017","-0.547"," 3.618"
"c_income_val","-0.255","0.198"," 1.667","0.197","-0.643"," 0.132","-0.581"," 0.070"
"c_any_prompt_counts"," 0.170","0.328"," 0.268","0.605","-0.473"," 0.812","-0.370"," 0.709"
"n_engaged","-0.236","0.232"," 1.033","0.309","-0.690"," 0.219","-0.617"," 0.146"
