"","Estimate","Std.err","Wald","Pr(>|W|)","LB95","UB95","LB90","UB90"
"(Intercept)"," 2.579","0.949","7.390","0.007"," 0.720","4.438"," 1.019","4.139"
"c_age"," 0.038","0.020","3.507","0.061","-0.002","0.078"," 0.005","0.072"
"c_is_male"," 0.791","0.432","3.352","0.067","-0.056","1.638"," 0.080","1.502"
"c_is_latino"," 0.336","0.676","0.247","0.619","-0.988","1.660","-0.775","1.447"
"c_is_not_latino_and_black","-0.083","1.024","0.007","0.935","-2.091","1.924","-1.768","1.602"
"c_is_not_latino_and_other"," 0.387","0.774","0.249","0.618","-1.131","1.904","-0.887","1.660"
"c_baseline_tobacco_history"," 0.054","0.077","0.491","0.484","-0.097","0.205","-0.073","0.180"
"c_has_partner","-0.127","0.628","0.041","0.839","-1.357","1.103","-1.160","0.905"
"c_income_val","-0.073","0.128","0.325","0.569","-0.324","0.178","-0.284","0.138"
"c_any_prompt_counts","-0.499","0.410","1.482","0.223","-1.303","0.305","-1.174","0.175"
"c_n_nic"," 0.508","0.282","3.235","0.072","-0.046","1.061"," 0.043","0.972"
"n_engaged","-0.186","0.218","0.725","0.395","-0.614","0.242","-0.545","0.173"
