"","Estimate","Std.err","Wald","Pr(>|W|)","LB95","UB95","LB90","UB90"
"(Intercept)"," 3.606","1.164"," 9.594","0.002"," 1.324"," 5.887"," 1.691"," 5.520"
"c_age"," 0.080","0.054"," 2.174","0.140","-0.026"," 0.187","-0.009"," 0.170"
"c_is_male","-0.092","0.767"," 0.014","0.905","-1.594"," 1.411","-1.353"," 1.169"
"c_is_latino","-0.257","0.811"," 0.101","0.751","-1.846"," 1.332","-1.591"," 1.076"
"c_is_not_latino_and_black","-0.618","0.787"," 0.617","0.432","-2.160"," 0.924","-1.912"," 0.676"
"c_is_not_latino_and_other"," 7.652","1.682","20.695","0.000"," 4.355","10.948"," 4.885","10.418"
"c_baseline_tobacco_history"," 0.198","0.082"," 5.825","0.016"," 0.037"," 0.359"," 0.063"," 0.333"
"c_has_partner"," 0.968","1.102"," 0.771","0.380","-1.192"," 3.127","-0.845"," 2.780"
"c_income_val","-0.155","0.182"," 0.727","0.394","-0.512"," 0.201","-0.454"," 0.144"
"c_any_prompt_counts"," 0.409","0.245"," 2.796","0.094","-0.070"," 0.889"," 0.007"," 0.812"
"c_n_nic"," 0.451","0.178"," 6.395","0.011"," 0.101"," 0.800"," 0.158"," 0.744"
"n_engaged","-0.126","0.254"," 0.246","0.620","-0.623"," 0.372","-0.543"," 0.292"
