"","estimate","LB95","UB95","LB90","UB90"
"(Intercept)","2.646","1.036","6.756","1.205","5.811"
"c_age","1.037","0.982","1.095","0.991","1.085"
"c_is_male","1.739","0.521","5.807","0.632","4.784"
"c_is_latino","0.163","0.045","0.586","0.056","0.477"
"c_is_not_latino_and_black","0.281","0.056","1.401","0.073","1.082"
"c_is_not_latino_and_other","0.281","0.055","1.441","0.071","1.108"
"c_baseline_tobacco_history","1.082","0.977","1.198","0.993","1.178"
"c_has_partner","1.271","0.383","4.218","0.465","3.479"
"c_income_val","1.102","0.902","1.347","0.931","1.304"
"c_any_prompt_counts","1.288","0.896","1.853","0.949","1.748"
"n_engaged","0.859","0.681","1.083","0.707","1.043"
