"","estimate","LB95","UB95","LB90","UB90"
"(Intercept)"," 2.825","0.586","  13.610","0.755","  10.570"
"c_age"," 1.020","0.940","   1.105","0.953","   1.091"
"c_is_male"," 0.716","0.044","  11.666","0.069","   7.448"
"c_is_latino"," 1.271","0.098","  16.473","0.148","  10.911"
"c_is_not_latino_and_black"," 5.217","0.343","  79.406","0.531","  51.257"
"c_is_not_latino_and_other"," 0.298","0.027","   3.242","0.040","   2.208"
"c_baseline_tobacco_history"," 1.047","0.922","   1.189","0.941","   1.165"
"c_has_partner"," 2.741","0.361","  20.812","0.500","  15.024"
"c_income_val"," 0.951","0.708","   1.277","0.742","   1.218"
"c_any_prompt_counts"," 0.345","0.155","   0.765","0.176","   0.673"
"c_any_nic","86.007","2.751","2689.338","4.784","1546.218"
"n_engaged"," 0.797","0.576","   1.103","0.607","   1.047"
