"","estimate","LB95","UB95","LB90","UB90"
"(Intercept)","0.559","0.415","0.754","0.435","0.719"
"c_age","1.006","0.982","1.031","0.986","1.027"
"c_is_male","0.770","0.443","1.337","0.485","1.224"
"c_is_latino","0.519","0.271","0.994","0.301","0.895"
"c_is_not_latino_and_black","0.513","0.297","0.886","0.324","0.811"
"c_is_not_latino_and_other","0.617","0.245","1.555","0.284","1.340"
"c_baseline_tobacco_history","1.054","1.021","1.089","1.026","1.084"
"c_has_partner","1.328","0.819","2.154","0.885","1.993"
"c_income_val","0.940","0.874","1.012","0.884","1.000"
"c_any_prompt","1.079","0.916","1.272","0.940","1.239"
"Y","0.727","0.539","0.981","0.566","0.935"
