"","estimate","LB95","UB95","LB90","UB90"
"(Intercept)","0.384","0.293","0.504","0.306","0.483"
"c_age","1.010","0.989","1.031","0.992","1.028"
"c_is_male","0.939","0.580","1.521","0.627","1.407"
"c_is_latino","0.641","0.374","1.100","0.408","1.008"
"c_is_not_latino_and_black","0.534","0.344","0.828","0.370","0.772"
"c_is_not_latino_and_other","0.749","0.396","1.418","0.438","1.280"
"c_baseline_tobacco_history","1.050","1.022","1.078","1.026","1.073"
"c_has_partner","1.399","0.951","2.058","1.012","1.934"
"c_income_val","0.956","0.891","1.025","0.901","1.013"
"c_any_prompt","1.080","0.864","1.350","0.896","1.303"
"c_substance_is_any_nicotine","4.919","3.026","7.997","3.272","7.396"
"Y","0.852","0.626","1.160","0.658","1.103"
