"","estimate","LB95","UB95","LB90","UB90"
"(Intercept)","0.555","0.411","0.749","0.431","0.713"
"c_age","1.007","0.983","1.032","0.987","1.028"
"c_is_male","0.789","0.454","1.370","0.496","1.253"
"c_is_latino","0.505","0.263","0.972","0.292","0.875"
"c_is_not_latino_and_black","0.516","0.298","0.892","0.326","0.817"
"c_is_not_latino_and_other","0.627","0.250","1.570","0.290","1.355"
"c_baseline_tobacco_history","1.055","1.021","1.089","1.026","1.084"
"c_has_partner","1.347","0.830","2.188","0.897","2.024"
"c_income_val","0.942","0.876","1.014","0.886","1.002"
"c_any_prompt","1.096","0.931","1.291","0.955","1.258"
"Y","0.722","0.536","0.973","0.562","0.927"
