"","estimate","LB95","UB95","LB90","UB90"
"(Intercept)","0.379","0.289","0.497","0.302","0.476"
"c_age","1.009","0.988","1.031","0.992","1.027"
"c_is_male","0.943","0.583","1.526","0.630","1.412"
"c_is_latino","0.634","0.369","1.089","0.403","0.998"
"c_is_not_latino_and_black","0.533","0.344","0.826","0.369","0.770"
"c_is_not_latino_and_other","0.747","0.395","1.412","0.438","1.274"
"c_baseline_tobacco_history","1.050","1.022","1.078","1.026","1.073"
"c_has_partner","1.398","0.950","2.057","1.011","1.933"
"c_income_val","0.956","0.892","1.025","0.902","1.014"
"c_any_prompt","1.086","0.870","1.355","0.901","1.308"
"c_substance_is_any_tobacco","4.935","3.031","8.033","3.278","7.427"
"Y","0.866","0.637","1.177","0.669","1.120"
