"","Estimate","Std.err","Wald","Pr(>|W|)","LB95","UB95","LB90","UB90"
"(Intercept)"," 0.229","1.281","0.032","0.858","-2.283"," 2.741","-1.879"," 2.337"
"c_age"," 0.018","0.040","0.194","0.659","-0.060"," 0.095","-0.048"," 0.083"
"c_is_male"," 0.099","1.295","0.006","0.939","-2.438"," 2.637","-2.030"," 2.229"
"c_is_latino","-0.121","1.196","0.010","0.920","-2.465"," 2.224","-2.088"," 1.847"
"c_is_not_latino_and_black"," 1.093","1.389","0.619","0.431","-1.630"," 3.816","-1.192"," 3.378"
"c_is_not_latino_and_other","-0.928","1.358","0.467","0.494","-3.590"," 1.733","-3.162"," 1.306"
"c_baseline_tobacco_history"," 0.066","0.064","1.076","0.300","-0.059"," 0.191","-0.039"," 0.171"
"c_has_partner"," 0.245","1.415","0.030","0.863","-2.529"," 3.018","-2.083"," 2.572"
"c_income_val"," 0.014","0.146","0.010","0.921","-0.272"," 0.301","-0.226"," 0.255"
"c_any_prompt_counts","-1.022","0.368","7.728","0.005","-1.743","-0.302","-1.627","-0.418"
"c_any_nic"," 3.790","1.551","5.975","0.015"," 0.751"," 6.829"," 1.240"," 6.341"
"n_engaged","-0.058","0.267","0.048","0.827","-0.583"," 0.466","-0.498"," 0.381"
