"","estimate","LB95","UB95","LB90","UB90"
"(Intercept)","3.092","1.197","7.984","1.395","6.854"
"c_age","1.045","0.990","1.102","0.999","1.093"
"c_is_male","1.646","0.492","5.511","0.597","4.538"
"c_is_latino","0.153","0.044","0.536","0.054","0.438"
"c_is_not_latino_and_black","0.313","0.065","1.510","0.084","1.172"
"c_is_not_latino_and_other","0.244","0.048","1.249","0.062","0.961"
"c_baseline_tobacco_history","1.069","0.973","1.175","0.988","1.157"
"c_has_partner","1.786","0.601","5.306","0.716","4.454"
"c_income_val","1.074","0.875","1.317","0.904","1.275"
"c_any_prompt_counts","1.361","0.943","1.963","1.000","1.851"
"n_engaged","0.842","0.669","1.059","0.694","1.021"
