"","estimate","LB95","UB95","LB90","UB90"
"(Intercept)"," 1.257","0.102"," 15.495","0.153"," 10.347"
"c_age"," 1.018","0.941","  1.100","0.953","  1.086"
"c_is_male"," 1.104","0.087"," 13.965","0.131","  9.287"
"c_is_latino"," 0.886","0.085","  9.242","0.124","  6.340"
"c_is_not_latino_and_black"," 2.984","0.196"," 45.436","0.304"," 29.327"
"c_is_not_latino_and_other"," 0.395","0.028","  5.660","0.042","  3.690"
"c_baseline_tobacco_history"," 1.068","0.943","  1.211","0.962","  1.187"
"c_has_partner"," 1.277","0.080"," 20.450","0.125"," 13.094"
"c_income_val"," 1.015","0.762","  1.351","0.798","  1.290"
"c_any_prompt_counts"," 0.360","0.175","  0.740","0.196","  0.659"
"c_any_nic","44.263","2.119","924.469","3.454","567.146"
"n_engaged"," 0.943","0.558","  1.593","0.608","  1.464"
