"","est_contrast","conf_interval_LB","conf_interval_UB","conf_interval_LB95","conf_interval_UB95"
"(Intercept)","0.208","0.104","0.417","0.091","0.476"
"I(total_engagement_combined >= 6)TRUE","1.557","0.758","3.198","0.660","3.671"
"c_age","0.974","0.951","0.996","0.947","1.000"
"c_is_male","1.305","0.805","2.117","0.733","2.322"
"c_is_latino","2.007","0.964","4.182","0.837","4.813"
"c_is_not_latino_and_black","2.797","1.362","5.744","1.187","6.593"
"c_is_not_latino_and_other","2.569","1.166","5.662","1.002","6.588"
"c_baseline_tobacco_history","0.957","0.922","0.993","0.916","1.001"
"c_has_partner","0.638","0.397","1.026","0.362","1.123"
"c_income_val","1.136","1.055","1.223","1.040","1.240"
