"","contrast","est_contrast","conf_interval_LB","conf_interval_UB","conf_interval_LB95","conf_interval_UB95"
"(Intercept)","-1.123","-1.123","-2.014","-0.231","-2.185","-0.060"
"I(total_engagement_combined >= 6)TRUE"," 0.286"," 0.286","-0.542"," 1.114","-0.701"," 1.273"
"c_age","-0.019","-0.019","-0.036","-0.002","-0.039"," 0.001"
"c_is_male","-0.051","-0.051","-0.538"," 0.437","-0.632"," 0.531"
"c_is_latino"," 0.530"," 0.530","-0.175"," 1.235","-0.310"," 1.370"
"c_is_not_latino_and_black"," 0.407"," 0.407","-0.303"," 1.117","-0.439"," 1.253"
"c_is_not_latino_and_other"," 0.811"," 0.811"," 0.052"," 1.571","-0.093"," 1.716"
"c_baseline_tobacco_history","-0.049","-0.049","-0.089","-0.009","-0.097","-0.001"
"c_has_partner","-0.216","-0.216","-0.623"," 0.192","-0.701"," 0.270"
"c_income_val"," 0.124"," 0.124"," 0.055"," 0.193"," 0.042"," 0.206"
