"","est_contrast","conf_interval_LB","conf_interval_UB","conf_interval_LB95","conf_interval_UB95"
"(Intercept)","0.325","0.133","0.794","0.112","0.942"
"I(total_engagement_combined >= 6)TRUE","1.331","0.581","3.048","0.496","3.572"
"c_age","0.981","0.965","0.998","0.962","1.001"
"c_is_male","0.951","0.584","1.548","0.532","1.700"
"c_is_latino","1.699","0.840","3.437","0.734","3.934"
"c_is_not_latino_and_black","1.502","0.738","3.054","0.645","3.499"
"c_is_not_latino_and_other","2.251","1.053","4.809","0.911","5.562"
"c_baseline_tobacco_history","0.952","0.915","0.991","0.908","0.999"
"c_has_partner","0.806","0.536","1.211","0.496","1.310"
"c_income_val","1.132","1.057","1.213","1.043","1.229"
