"","Estimate","95% LCL","95% UCL","StdErr","t_value","df","p-value"
"(Intercept)"," 0.106"," 0.011"," 0.201"," 0.048"," 2.216","75.000"," 0.030"
"(Intercept)","-0.324","-0.801"," 0.154"," 0.240","-1.350","75.000"," 0.181"
"age"," 0.001","-0.006"," 0.008"," 0.004"," 0.391","75.000"," 0.697"
"is_male","-0.139","-0.424"," 0.147"," 0.143","-0.968","75.000"," 0.336"
"is_latino"," 0.210","-0.075"," 0.496"," 0.143"," 1.469","75.000"," 0.146"
"is_not_latino_and_black"," 0.138","-0.133"," 0.408"," 0.136"," 1.015","75.000"," 0.313"
"is_not_latino_and_other"," 0.130","-0.241"," 0.501"," 0.186"," 0.699","75.000"," 0.487"
"baseline_tobacco_history"," 0.000","-0.013"," 0.014"," 0.007"," 0.053","75.000"," 0.958"
"has_partner"," 0.009","-0.202"," 0.219"," 0.106"," 0.081","75.000"," 0.936"
"income_val","-0.005","-0.037"," 0.027"," 0.016","-0.341","75.000"," 0.734"
"hour_coinflip_local"," 0.001","-0.009"," 0.011"," 0.005"," 0.130","75.000"," 0.897"
"days_between_v1_and_coinflip_local"," 0.004","-0.011"," 0.019"," 0.008"," 0.538","75.000"," 0.592"
"any_response_2qs"," 0.042","-0.092"," 0.176"," 0.067"," 0.627","75.000"," 0.533"
"any_recent_eligible_dp","-1.018","-1.397","-0.640"," 0.190","-5.358","75.000"," 0.000"
"engagement_most_recent_eligible"," 0.866"," 0.607"," 1.125"," 0.130"," 6.661","75.000"," 0.000"
