"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.186"," 0.094","-0.002"," 0.374"," 0.029"," 0.343"," 1.971","74.000"," 0.053"
"days_between_v1_and_coinflip_local","-0.016"," 0.015","-0.047"," 0.015","-0.042"," 0.010","-1.038","74.000"," 0.302"
"(Intercept) + days_between_v1_and_coinflip_local"," 0.170"," 0.081"," 0.008"," 0.332"," 0.034"," 0.306"," 2.088","74.000"," 0.040"
"(Intercept) + 2*days_between_v1_and_coinflip_local"," 0.154"," 0.069"," 0.016"," 0.292"," 0.038"," 0.270"," 2.217","74.000"," 0.030"
"(Intercept) + 3*days_between_v1_and_coinflip_local"," 0.138"," 0.059"," 0.020"," 0.256"," 0.039"," 0.236"," 2.333","74.000"," 0.022"
"(Intercept) + 4*days_between_v1_and_coinflip_local"," 0.122"," 0.051"," 0.019"," 0.224"," 0.036"," 0.207"," 2.368","74.000"," 0.020"
"(Intercept) + 5*days_between_v1_and_coinflip_local"," 0.106"," 0.048"," 0.011"," 0.201"," 0.026"," 0.185"," 2.216","74.000"," 0.030"
"(Intercept) + 6*days_between_v1_and_coinflip_local"," 0.090"," 0.049","-0.008"," 0.187"," 0.008"," 0.171"," 1.835","74.000"," 0.070"
"(Intercept) + 7*days_between_v1_and_coinflip_local"," 0.074"," 0.055","-0.035"," 0.182","-0.017"," 0.164"," 1.348","74.000"," 0.182"
"(Intercept) + 8*days_between_v1_and_coinflip_local"," 0.057"," 0.064","-0.069"," 0.184","-0.048"," 0.163"," 0.903","74.000"," 0.369"
"(Intercept)","-0.356"," 0.263","-0.881"," 0.169","-0.795"," 0.083","-1.352","74.000"," 0.181"
"age"," 0.001"," 0.004","-0.006"," 0.008","-0.005"," 0.007"," 0.387","74.000"," 0.700"
"is_male","-0.138"," 0.143","-0.423"," 0.147","-0.376"," 0.100","-0.965","74.000"," 0.338"
"is_latino"," 0.210"," 0.143","-0.075"," 0.496","-0.028"," 0.449"," 1.469","74.000"," 0.146"
"is_not_latino_and_black"," 0.138"," 0.136","-0.133"," 0.408","-0.088"," 0.364"," 1.015","74.000"," 0.314"
"is_not_latino_and_other"," 0.130"," 0.186","-0.240"," 0.500","-0.179"," 0.439"," 0.700","74.000"," 0.486"
"baseline_tobacco_history"," 0.000"," 0.007","-0.013"," 0.014","-0.011"," 0.012"," 0.064","74.000"," 0.949"
"has_partner"," 0.008"," 0.106","-0.202"," 0.219","-0.167"," 0.184"," 0.079","74.000"," 0.937"
"income_val","-0.006"," 0.016","-0.038"," 0.026","-0.032"," 0.021","-0.347","74.000"," 0.729"
"hour_coinflip_local"," 0.000"," 0.005","-0.009"," 0.010","-0.008"," 0.009"," 0.093","74.000"," 0.926"
"days_between_v1_and_coinflip_local"," 0.012"," 0.011","-0.010"," 0.035","-0.007"," 0.031"," 1.068","74.000"," 0.289"
"any_response_2qs"," 0.038"," 0.068","-0.097"," 0.173","-0.075"," 0.151"," 0.565","74.000"," 0.574"
"any_recent_eligible_dp","-1.023"," 0.220","-1.460","-0.585","-1.389","-0.657","-4.655","74.000"," 0.000"
"engagement_most_recent_eligible"," 0.870"," 0.131"," 0.609"," 1.130"," 0.652"," 1.087"," 6.651","74.000"," 0.000"
