"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.173"," 0.151","-0.128"," 0.474","-0.079"," 0.424"," 1.143","74.000"," 0.257"
"hour_coinflip_local","-0.005"," 0.010","-0.024"," 0.015","-0.021"," 0.012","-0.478","74.000"," 0.634"
"(Intercept)"," 0.173"," 0.151","-0.128"," 0.474","-0.079"," 0.424"," 1.143","74.000"," 0.257"
"(Intercept) + hour_coinflip_local"," 0.168"," 0.142","-0.115"," 0.451","-0.068"," 0.404"," 1.184","74.000"," 0.240"
"(Intercept) + 2*hour_coinflip_local"," 0.163"," 0.133","-0.101"," 0.428","-0.058"," 0.384"," 1.231","74.000"," 0.222"
"(Intercept) + 3*hour_coinflip_local"," 0.159"," 0.124","-0.088"," 0.405","-0.047"," 0.364"," 1.284","74.000"," 0.203"
"(Intercept) + 4*hour_coinflip_local"," 0.154"," 0.115","-0.074"," 0.382","-0.037"," 0.345"," 1.344","74.000"," 0.183"
"(Intercept) + 5*hour_coinflip_local"," 0.149"," 0.106","-0.061"," 0.360","-0.027"," 0.325"," 1.412","74.000"," 0.162"
"(Intercept) + 6*hour_coinflip_local"," 0.144"," 0.097","-0.049"," 0.338","-0.017"," 0.306"," 1.489","74.000"," 0.141"
"(Intercept) + 7*hour_coinflip_local"," 0.140"," 0.089","-0.037"," 0.316","-0.008"," 0.287"," 1.578","74.000"," 0.119"
"(Intercept) + 8*hour_coinflip_local"," 0.135"," 0.081","-0.025"," 0.296"," 0.001"," 0.269"," 1.678","74.000"," 0.098"
"(Intercept) + 9*hour_coinflip_local"," 0.130"," 0.073","-0.015"," 0.276"," 0.009"," 0.252"," 1.790","74.000"," 0.078"
"(Intercept) + 10*hour_coinflip_local"," 0.126"," 0.066","-0.005"," 0.257"," 0.016"," 0.235"," 1.912","74.000"," 0.060"
"(Intercept) + 11*hour_coinflip_local"," 0.121"," 0.059"," 0.003"," 0.239"," 0.022"," 0.220"," 2.035","74.000"," 0.045"
"(Intercept) + 12*hour_coinflip_local"," 0.116"," 0.054"," 0.008"," 0.224"," 0.026"," 0.207"," 2.146","74.000"," 0.035"
"(Intercept) + 13*hour_coinflip_local"," 0.112"," 0.050"," 0.011"," 0.212"," 0.028"," 0.195"," 2.217","74.000"," 0.030"
"(Intercept) + 14*hour_coinflip_local"," 0.107"," 0.048"," 0.011"," 0.203"," 0.027"," 0.187"," 2.219","74.000"," 0.030"
"(Intercept) + 15*hour_coinflip_local"," 0.102"," 0.048"," 0.007"," 0.198"," 0.022"," 0.182"," 2.129","74.000"," 0.037"
"(Intercept) + 16*hour_coinflip_local"," 0.098"," 0.050","-0.002"," 0.197"," 0.015"," 0.180"," 1.958","74.000"," 0.054"
"(Intercept) + 17*hour_coinflip_local"," 0.093"," 0.053","-0.014"," 0.199"," 0.004"," 0.182"," 1.740","74.000"," 0.086"
"(Intercept) + 18*hour_coinflip_local"," 0.088"," 0.058","-0.028"," 0.204","-0.009"," 0.185"," 1.510","74.000"," 0.135"
"(Intercept) + 19*hour_coinflip_local"," 0.083"," 0.065","-0.045"," 0.212","-0.024"," 0.191"," 1.293","74.000"," 0.200"
"(Intercept) + 20*hour_coinflip_local"," 0.079"," 0.071","-0.064"," 0.221","-0.040"," 0.198"," 1.101","74.000"," 0.274"
"(Intercept) + 21*hour_coinflip_local"," 0.074"," 0.079","-0.083"," 0.232","-0.058"," 0.206"," 0.937","74.000"," 0.352"
"(Intercept) + 22*hour_coinflip_local"," 0.069"," 0.087","-0.104"," 0.243","-0.076"," 0.214"," 0.796","74.000"," 0.428"
"(Intercept) + 23*hour_coinflip_local"," 0.065"," 0.095","-0.126"," 0.255","-0.094"," 0.224"," 0.677","74.000"," 0.500"
"(Intercept) + 24*hour_coinflip_local"," 0.060"," 0.104","-0.147"," 0.267","-0.113"," 0.233"," 0.576","74.000"," 0.566"
"(Intercept)","-0.365"," 0.252","-0.868"," 0.138","-0.786"," 0.055","-1.447","74.000"," 0.152"
"age"," 0.001"," 0.004","-0.006"," 0.008","-0.004"," 0.007"," 0.398","74.000"," 0.692"
"is_male","-0.138"," 0.143","-0.423"," 0.147","-0.376"," 0.100","-0.965","74.000"," 0.338"
"is_latino"," 0.210"," 0.143","-0.075"," 0.495","-0.028"," 0.448"," 1.470","74.000"," 0.146"
"is_not_latino_and_black"," 0.139"," 0.135","-0.130"," 0.409","-0.086"," 0.365"," 1.029","74.000"," 0.307"
"is_not_latino_and_other"," 0.131"," 0.186","-0.240"," 0.502","-0.179"," 0.441"," 0.705","74.000"," 0.483"
"baseline_tobacco_history"," 0.000"," 0.007","-0.013"," 0.014","-0.011"," 0.012"," 0.049","74.000"," 0.961"
"has_partner"," 0.009"," 0.105","-0.201"," 0.218","-0.167"," 0.184"," 0.081","74.000"," 0.936"
"income_val","-0.005"," 0.016","-0.037"," 0.027","-0.032"," 0.021","-0.333","74.000"," 0.740"
"hour_coinflip_local"," 0.003"," 0.007","-0.012"," 0.017","-0.009"," 0.015"," 0.389","74.000"," 0.698"
"days_between_v1_and_coinflip_local"," 0.004"," 0.008","-0.011"," 0.019","-0.009"," 0.017"," 0.514","74.000"," 0.609"
"any_response_2qs"," 0.043"," 0.068","-0.091"," 0.178","-0.069"," 0.156"," 0.640","74.000"," 0.524"
"any_recent_eligible_dp","-1.011"," 0.195","-1.399","-0.623","-1.335","-0.687","-5.192","74.000"," 0.000"
"engagement_most_recent_eligible"," 0.868"," 0.131"," 0.608"," 1.128"," 0.650"," 1.085"," 6.647","74.000"," 0.000"
