"","Estimate","95% LCL","95% UCL","StdErr","t_value","df","p-value"
"(Intercept)"," 0.186","-0.002"," 0.374"," 0.094"," 1.971","74.000"," 0.053"
"days_between_v1_and_coinflip_local","-0.016","-0.047"," 0.015"," 0.015","-1.038","74.000"," 0.302"
"(Intercept)","-0.494","-1.128"," 0.140"," 0.318","-1.553","74.000"," 0.125"
"age"," 0.001","-0.006"," 0.008"," 0.004"," 0.387","74.000"," 0.700"
"is_female"," 0.138","-0.147"," 0.423"," 0.143"," 0.965","74.000"," 0.338"
"is_latino"," 0.210","-0.075"," 0.496"," 0.143"," 1.469","74.000"," 0.146"
"is_not_latino_and_black"," 0.138","-0.133"," 0.408"," 0.136"," 1.015","74.000"," 0.314"
"is_not_latino_and_other"," 0.130","-0.240"," 0.500"," 0.186"," 0.700","74.000"," 0.486"
"baseline_tobacco_history"," 0.000","-0.013"," 0.014"," 0.007"," 0.064","74.000"," 0.949"
"has_partner"," 0.008","-0.202"," 0.219"," 0.106"," 0.079","74.000"," 0.937"
"income_val","-0.006","-0.038"," 0.026"," 0.016","-0.347","74.000"," 0.729"
"hour_coinflip_local"," 0.000","-0.009"," 0.010"," 0.005"," 0.093","74.000"," 0.926"
"days_between_v1_and_coinflip_local"," 0.012","-0.010"," 0.035"," 0.011"," 1.068","74.000"," 0.289"
"any_response_2qs"," 0.038","-0.097"," 0.173"," 0.068"," 0.565","74.000"," 0.574"
"any_recent_eligible_dp","-1.023","-1.460","-0.585"," 0.220","-4.655","74.000"," 0.000"
"engagement_most_recent_eligible"," 0.870"," 0.609"," 1.130"," 0.131"," 6.651","74.000"," 0.000"
