"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.311"," 0.207","-0.102"," 0.724","-0.034"," 0.656"," 1.503","72.000"," 0.137"
"days_between_v1_and_coinflip_local","-0.077"," 0.085","-0.247"," 0.092","-0.219"," 0.064","-0.909","72.000"," 0.366"
"I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)"," 0.006"," 0.008","-0.010"," 0.022","-0.007"," 0.019"," 0.751","72.000"," 0.455"
"(Intercept) + days_between_v1_and_coinflip_local + I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)"," 0.240"," 0.136","-0.030"," 0.510"," 0.014"," 0.466"," 1.769","72.000"," 0.081"
"(Intercept) + 2*days_between_v1_and_coinflip_local + 2*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)"," 0.168"," 0.076"," 0.017"," 0.320"," 0.042"," 0.295"," 2.214","72.000"," 0.030"
"(Intercept) + 3*days_between_v1_and_coinflip_local + 3*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)"," 0.097"," 0.072","-0.046"," 0.240","-0.022"," 0.217"," 1.356","72.000"," 0.179"
"(Intercept) + 4*days_between_v1_and_coinflip_local + 4*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)"," 0.026"," 0.128","-0.229"," 0.281","-0.188"," 0.239"," 0.202","72.000"," 0.841"
"(Intercept) + 5*days_between_v1_and_coinflip_local + 5*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","-0.045"," 0.199","-0.442"," 0.351","-0.377"," 0.286","-0.228","72.000"," 0.820"
"(Intercept) + 6*days_between_v1_and_coinflip_local + 6*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","-0.117"," 0.273","-0.662"," 0.428","-0.572"," 0.339","-0.427","72.000"," 0.670"
"(Intercept) + 7*days_between_v1_and_coinflip_local + 7*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","-0.188"," 0.349","-0.884"," 0.507","-0.769"," 0.393","-0.539","72.000"," 0.592"
"(Intercept) + 8*days_between_v1_and_coinflip_local + 8*I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","-0.259"," 0.425","-1.107"," 0.588","-0.968"," 0.449","-0.610","72.000"," 0.544"
"(Intercept)","-0.481"," 0.312","-1.103"," 0.141","-1.001"," 0.039","-1.543","72.000"," 0.127"
"age"," 0.001"," 0.004","-0.006"," 0.009","-0.004"," 0.007"," 0.420","72.000"," 0.676"
"is_male","-0.136"," 0.144","-0.423"," 0.151","-0.376"," 0.104","-0.947","72.000"," 0.347"
"is_latino"," 0.211"," 0.144","-0.075"," 0.497","-0.028"," 0.450"," 1.469","72.000"," 0.146"
"is_not_latino_and_black"," 0.137"," 0.136","-0.134"," 0.408","-0.090"," 0.364"," 1.006","72.000"," 0.318"
"is_not_latino_and_other"," 0.130"," 0.187","-0.242"," 0.502","-0.181"," 0.441"," 0.695","72.000"," 0.489"
"baseline_tobacco_history"," 0.000"," 0.007","-0.013"," 0.014","-0.011"," 0.012"," 0.046","72.000"," 0.964"
"has_partner"," 0.007"," 0.106","-0.204"," 0.218","-0.169"," 0.183"," 0.067","72.000"," 0.947"
"income_val","-0.005"," 0.016","-0.037"," 0.027","-0.032"," 0.022","-0.314","72.000"," 0.754"
"hour_coinflip_local"," 0.000"," 0.005","-0.010"," 0.010","-0.008"," 0.008"," 0.009","72.000"," 0.993"
"days_between_v1_and_coinflip_local"," 0.092"," 0.062","-0.030"," 0.215","-0.010"," 0.195"," 1.499","72.000"," 0.138"
"I(days_between_v1_and_coinflip_local * days_between_v1_and_coinflip_local)","-0.008"," 0.006","-0.020"," 0.004","-0.018"," 0.002","-1.360","72.000"," 0.178"
"any_response_2qs"," 0.038"," 0.068","-0.098"," 0.174","-0.076"," 0.152"," 0.558","72.000"," 0.579"
"any_recent_eligible_dp","-1.056"," 0.245","-1.544","-0.567","-1.464","-0.647","-4.308","72.000"," 0.000"
"engagement_most_recent_eligible"," 0.865"," 0.131"," 0.604"," 1.125"," 0.647"," 1.082"," 6.623","72.000"," 0.000"
