"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.475"," 0.504","-0.529"," 1.480","-0.364"," 1.315"," 0.944","72.000"," 0.348"
"hour_coinflip_local","-0.051"," 0.072","-0.195"," 0.093","-0.172"," 0.069","-0.708","72.000"," 0.481"
"I(hour_coinflip_local * hour_coinflip_local)"," 0.002"," 0.003","-0.003"," 0.007","-0.003"," 0.006"," 0.653","72.000"," 0.516"
"(Intercept)"," 0.475"," 0.504","-0.529"," 1.480","-0.364"," 1.315"," 0.944","72.000"," 0.348"
"(Intercept) + hour_coinflip_local + I(hour_coinflip_local * hour_coinflip_local)"," 0.426"," 0.435","-0.442"," 1.294","-0.299"," 1.151"," 0.978","72.000"," 0.331"
"(Intercept) + 2*hour_coinflip_local + 2*I(hour_coinflip_local * hour_coinflip_local)"," 0.376"," 0.367","-0.356"," 1.108","-0.236"," 0.988"," 1.025","72.000"," 0.309"
"(Intercept) + 3*hour_coinflip_local + 3*I(hour_coinflip_local * hour_coinflip_local)"," 0.327"," 0.300","-0.271"," 0.925","-0.173"," 0.827"," 1.089","72.000"," 0.280"
"(Intercept) + 4*hour_coinflip_local + 4*I(hour_coinflip_local * hour_coinflip_local)"," 0.277"," 0.234","-0.190"," 0.745","-0.113"," 0.668"," 1.183","72.000"," 0.241"
"(Intercept) + 5*hour_coinflip_local + 5*I(hour_coinflip_local * hour_coinflip_local)"," 0.228"," 0.172","-0.115"," 0.571","-0.059"," 0.514"," 1.323","72.000"," 0.190"
"(Intercept) + 6*hour_coinflip_local + 6*I(hour_coinflip_local * hour_coinflip_local)"," 0.178"," 0.118","-0.058"," 0.414","-0.019"," 0.375"," 1.507","72.000"," 0.136"
"(Intercept) + 7*hour_coinflip_local + 7*I(hour_coinflip_local * hour_coinflip_local)"," 0.129"," 0.090","-0.051"," 0.308","-0.021"," 0.279"," 1.430","72.000"," 0.157"
"(Intercept) + 8*hour_coinflip_local + 8*I(hour_coinflip_local * hour_coinflip_local)"," 0.079"," 0.109","-0.139"," 0.297","-0.103"," 0.261"," 0.724","72.000"," 0.471"
"(Intercept) + 9*hour_coinflip_local + 9*I(hour_coinflip_local * hour_coinflip_local)"," 0.030"," 0.160","-0.289"," 0.348","-0.237"," 0.296"," 0.185","72.000"," 0.853"
"(Intercept) + 10*hour_coinflip_local + 10*I(hour_coinflip_local * hour_coinflip_local)","-0.020"," 0.221","-0.460"," 0.421","-0.388"," 0.348","-0.090","72.000"," 0.928"
"(Intercept) + 11*hour_coinflip_local + 11*I(hour_coinflip_local * hour_coinflip_local)","-0.069"," 0.286","-0.640"," 0.501","-0.546"," 0.407","-0.243","72.000"," 0.809"
"(Intercept) + 12*hour_coinflip_local + 12*I(hour_coinflip_local * hour_coinflip_local)","-0.119"," 0.353","-0.823"," 0.585","-0.707"," 0.469","-0.337","72.000"," 0.737"
"(Intercept) + 13*hour_coinflip_local + 13*I(hour_coinflip_local * hour_coinflip_local)","-0.168"," 0.421","-1.008"," 0.671","-0.870"," 0.533","-0.400","72.000"," 0.690"
"(Intercept) + 14*hour_coinflip_local + 14*I(hour_coinflip_local * hour_coinflip_local)","-0.218"," 0.489","-1.193"," 0.757","-1.033"," 0.597","-0.446","72.000"," 0.657"
"(Intercept) + 15*hour_coinflip_local + 15*I(hour_coinflip_local * hour_coinflip_local)","-0.268"," 0.558","-1.380"," 0.845","-1.197"," 0.662","-0.479","72.000"," 0.633"
"(Intercept) + 16*hour_coinflip_local + 16*I(hour_coinflip_local * hour_coinflip_local)","-0.317"," 0.627","-1.567"," 0.933","-1.362"," 0.728","-0.506","72.000"," 0.615"
"(Intercept) + 17*hour_coinflip_local + 17*I(hour_coinflip_local * hour_coinflip_local)","-0.367"," 0.696","-1.754"," 1.021","-1.526"," 0.793","-0.527","72.000"," 0.600"
"(Intercept) + 18*hour_coinflip_local + 18*I(hour_coinflip_local * hour_coinflip_local)","-0.416"," 0.765","-1.942"," 1.109","-1.691"," 0.859","-0.544","72.000"," 0.588"
"(Intercept) + 19*hour_coinflip_local + 19*I(hour_coinflip_local * hour_coinflip_local)","-0.466"," 0.835","-2.129"," 1.198","-1.856"," 0.925","-0.558","72.000"," 0.579"
"(Intercept) + 20*hour_coinflip_local + 20*I(hour_coinflip_local * hour_coinflip_local)","-0.515"," 0.904","-2.317"," 1.287","-2.022"," 0.991","-0.570","72.000"," 0.571"
"(Intercept) + 21*hour_coinflip_local + 21*I(hour_coinflip_local * hour_coinflip_local)","-0.565"," 0.973","-2.505"," 1.376","-2.187"," 1.057","-0.580","72.000"," 0.564"
"(Intercept) + 22*hour_coinflip_local + 22*I(hour_coinflip_local * hour_coinflip_local)","-0.614"," 1.043","-2.693"," 1.465","-2.352"," 1.124","-0.589","72.000"," 0.558"
"(Intercept) + 23*hour_coinflip_local + 23*I(hour_coinflip_local * hour_coinflip_local)","-0.664"," 1.112","-2.881"," 1.554","-2.517"," 1.190","-0.597","72.000"," 0.553"
"(Intercept) + 24*hour_coinflip_local + 24*I(hour_coinflip_local * hour_coinflip_local)","-0.713"," 1.182","-3.070"," 1.643","-2.683"," 1.256","-0.603","72.000"," 0.548"
"(Intercept)","-0.752"," 0.372","-1.494","-0.010","-1.372","-0.131","-2.019","72.000"," 0.047"
"age"," 0.001"," 0.004","-0.006"," 0.008","-0.005"," 0.007"," 0.388","72.000"," 0.699"
"is_male","-0.139"," 0.143","-0.424"," 0.147","-0.377"," 0.100","-0.969","72.000"," 0.336"
"is_latino"," 0.207"," 0.143","-0.078"," 0.492","-0.031"," 0.445"," 1.449","72.000"," 0.152"
"is_not_latino_and_black"," 0.139"," 0.135","-0.130"," 0.409","-0.086"," 0.365"," 1.031","72.000"," 0.306"
"is_not_latino_and_other"," 0.135"," 0.187","-0.237"," 0.507","-0.176"," 0.446"," 0.725","72.000"," 0.471"
"baseline_tobacco_history"," 0.000"," 0.007","-0.013"," 0.014","-0.011"," 0.011"," 0.042","72.000"," 0.967"
"has_partner"," 0.007"," 0.105","-0.203"," 0.217","-0.168"," 0.183"," 0.068","72.000"," 0.946"
"income_val","-0.005"," 0.016","-0.037"," 0.027","-0.032"," 0.022","-0.303","72.000"," 0.763"
"hour_coinflip_local"," 0.062"," 0.048","-0.034"," 0.158","-0.019"," 0.143"," 1.284","72.000"," 0.203"
"I(hour_coinflip_local * hour_coinflip_local)","-0.002"," 0.002","-0.006"," 0.001","-0.005"," 0.001","-1.229","72.000"," 0.223"
"days_between_v1_and_coinflip_local"," 0.004"," 0.008","-0.012"," 0.019","-0.009"," 0.016"," 0.472","72.000"," 0.638"
"any_response_2qs"," 0.040"," 0.068","-0.095"," 0.175","-0.073"," 0.153"," 0.590","72.000"," 0.557"
"any_recent_eligible_dp","-1.004"," 0.178","-1.359","-0.649","-1.301","-0.707","-5.632","72.000"," 0.000"
"engagement_most_recent_eligible"," 0.870"," 0.131"," 0.609"," 1.130"," 0.652"," 1.088"," 6.649","72.000"," 0.000"
