"","Estimate","95% LCL","95% UCL","StdErr","t_value","df","p-value"
"(Intercept)","-0.462","-1.050"," 0.126"," 0.296","-1.563","84.000"," 0.122"
"age"," 0.001","-0.006"," 0.008"," 0.004"," 0.391","84.000"," 0.696"
"is_female"," 0.139","-0.146"," 0.423"," 0.143"," 0.968","84.000"," 0.336"
"is_latino"," 0.210","-0.074"," 0.495"," 0.143"," 1.469","84.000"," 0.146"
"is_not_latino_and_black"," 0.138","-0.132"," 0.408"," 0.136"," 1.015","84.000"," 0.313"
"is_not_latino_and_other"," 0.130","-0.240"," 0.501"," 0.186"," 0.699","84.000"," 0.487"
"baseline_tobacco_history"," 0.000","-0.013"," 0.014"," 0.007"," 0.053","84.000"," 0.958"
"has_partner"," 0.009","-0.201"," 0.219"," 0.106"," 0.081","84.000"," 0.935"
"income_val","-0.005","-0.037"," 0.026"," 0.016","-0.341","84.000"," 0.734"
"hour_coinflip_local"," 0.001","-0.009"," 0.011"," 0.005"," 0.130","84.000"," 0.897"
"days_between_v1_and_coinflip_local"," 0.004","-0.011"," 0.019"," 0.008"," 0.538","84.000"," 0.592"
"any_response_2qs"," 0.042","-0.092"," 0.176"," 0.067"," 0.627","84.000"," 0.533"
"any_recent_eligible_dp","-1.018","-1.396","-0.640"," 0.190","-5.358","84.000"," 0.000"
"engagement_most_recent_eligible"," 0.866"," 0.607"," 1.125"," 0.130"," 6.661","84.000"," 0.000"
