"","Estimate","95% LCL","95% UCL","StdErr","t_value","df","p-value"
"(Intercept)","-0.494","-1.127"," 0.139"," 0.318","-1.553","83.000"," 0.124"
"days_between_v1_and_coinflip_local"," 0.012","-0.010"," 0.035"," 0.011"," 1.068","83.000"," 0.289"
"age"," 0.001","-0.006"," 0.008"," 0.004"," 0.387","83.000"," 0.700"
"is_female"," 0.138","-0.146"," 0.422"," 0.143"," 0.965","83.000"," 0.337"
"is_latino"," 0.210","-0.074"," 0.495"," 0.143"," 1.469","83.000"," 0.146"
"is_not_latino_and_black"," 0.138","-0.132"," 0.408"," 0.136"," 1.015","83.000"," 0.313"
"is_not_latino_and_other"," 0.130","-0.239"," 0.499"," 0.186"," 0.700","83.000"," 0.486"
"baseline_tobacco_history"," 0.000","-0.013"," 0.014"," 0.007"," 0.064","83.000"," 0.949"
"has_partner"," 0.008","-0.202"," 0.218"," 0.106"," 0.079","83.000"," 0.937"
"income_val","-0.006","-0.038"," 0.026"," 0.016","-0.347","83.000"," 0.729"
"hour_coinflip_local"," 0.000","-0.009"," 0.010"," 0.005"," 0.093","83.000"," 0.926"
"any_response_2qs"," 0.038","-0.097"," 0.173"," 0.068"," 0.565","83.000"," 0.573"
"any_recent_eligible_dp","-1.023","-1.460","-0.586"," 0.220","-4.655","83.000"," 0.000"
"engagement_most_recent_eligible"," 0.870"," 0.610"," 1.130"," 0.131"," 6.651","83.000"," 0.000"
