"","estimate","LCL90","UCL90","SE","test_stat","df","p"
"High Effort Prompt (versus No Prompt)"," 0.289"," 0.105"," 0.473","0.111"," 2.613","72.000","0.011"
"High Effort Prompt (versus No Prompt) x Day in Study","-0.020","-0.049"," 0.008","0.017","-1.180","72.000","0.242"
"Low Effort Prompt (versus No Prompt)"," 0.056","-0.125"," 0.237","0.109"," 0.517","72.000","0.606"
"Low Effort Prompt (versus No Prompt) x Day in Study","-0.007","-0.039"," 0.025","0.019","-0.375","72.000","0.709"
"Intercept","-0.295","-0.684"," 0.093","0.233","-1.266","72.000","0.210"
"age"," 0.002","-0.004"," 0.007","0.004"," 0.442","72.000","0.660"
"is_male","-0.138","-0.374"," 0.098","0.142","-0.972","72.000","0.334"
"is_latino"," 0.210","-0.026"," 0.446","0.142"," 1.484","72.000","0.142"
"is_not_latino_and_black"," 0.139","-0.086"," 0.364","0.135"," 1.030","72.000","0.307"
"is_not_latino_and_other"," 0.135","-0.172"," 0.442","0.184"," 0.733","72.000","0.466"
"baseline_tobacco_history"," 0.001","-0.011"," 0.012","0.007"," 0.091","72.000","0.928"
"has_partner"," 0.003","-0.172"," 0.178","0.105"," 0.027","72.000","0.979"
"income_val","-0.004","-0.031"," 0.022","0.016","-0.277","72.000","0.782"
"hour_coinflip_local"," 0.000","-0.008"," 0.008","0.005","-0.010","72.000","0.992"
"days_between_v1_and_coinflip_local"," 0.012","-0.007"," 0.031","0.011"," 1.077","72.000","0.285"
"any_response_2qs"," 0.030","-0.082"," 0.142","0.067"," 0.447","72.000","0.656"
"any_recent_eligible_dp","-1.088","-1.383","-0.794","0.177","-6.166","72.000","0.000"
"engagement_most_recent_eligible"," 0.873"," 0.655"," 1.090","0.130"," 6.694","72.000","0.000"
