"","est_contrast","lcl_contrast","ucl_contrast","se_contrast","test_stat_contrast","degrees_of_freedom","p_value"
"Indicator for High vs. Low"," 0.23257985"," 0.0410827205","0.42407697","0.11492399"," 2.0237710","72.000","0.046705680"
"Indicator for High vs. Low x Day in Study","-0.01316123","-0.0460528826","0.01973041","0.01973941","-0.6667493","72.000","0.507063372"
"High vs. Low at  1"," 0.21941861"," 0.0565324441","0.38230478","0.09775358"," 2.2446096","72.000","0.027866648"
"High vs. Low at  2"," 0.20625738"," 0.0700355761","0.34247918","0.08175137"," 2.5229836","72.000","0.013845706"
"High vs. Low at  3"," 0.19309614"," 0.0802042669","0.30598802","0.06775029"," 2.8501155","72.000","0.005696374"
"High vs. Low at  4"," 0.17993491"," 0.0845593705","0.27531044","0.05723813"," 3.1436195","72.000","0.002424057"
"High vs. Low at  5"," 0.16677367"," 0.0795261420","0.25402120","0.05236024"," 3.1851207","72.000","0.002139224"
"High vs. Low at  6"," 0.15361244"," 0.0625548122","0.24467006","0.05464680"," 2.8110049","72.000","0.006357601"
"High vs. Low at  7"," 0.14045120"," 0.0349307226","0.24597169","0.06332646"," 2.2178913","72.000","0.029717806"
"High vs. Low at  8"," 0.12728997"," 0.0002412635","0.25433868","0.07624629"," 1.6694580","72.000","0.099369350"
