"","estimate","LCL95","UCL95","SE","test_stat","df","p"
"High Effort Prompt (versus No Prompt)"," 0.292","-0.072"," 0.657","0.183"," 1.595","83.000","0.115"
"High Effort Prompt (versus No Prompt) x Hour","-0.007","-0.029"," 0.015","0.011","-0.639","83.000","0.525"
"Low Effort Prompt (versus No Prompt)"," 0.088","-0.278"," 0.454","0.184"," 0.480","83.000","0.632"
"Low Effort Prompt (versus No Prompt) x Hour","-0.005","-0.030"," 0.020","0.013","-0.382","83.000","0.703"
"Intercept","-0.327","-0.806"," 0.153","0.241","-1.355","83.000","0.179"
"age"," 0.002","-0.005"," 0.009","0.004"," 0.460","83.000","0.646"
"is_male","-0.138","-0.419"," 0.142","0.141","-0.981","83.000","0.330"
"is_latino"," 0.209","-0.072"," 0.491","0.141"," 1.482","83.000","0.142"
"is_not_latino_and_black"," 0.140","-0.127"," 0.407","0.134"," 1.040","83.000","0.302"
"is_not_latino_and_other"," 0.135","-0.231"," 0.502","0.184"," 0.735","83.000","0.464"
"baseline_tobacco_history"," 0.001","-0.013"," 0.014","0.007"," 0.081","83.000","0.936"
"has_partner"," 0.003","-0.206"," 0.211","0.105"," 0.026","83.000","0.979"
"income_val","-0.004","-0.036"," 0.027","0.016","-0.272","83.000","0.787"
"hour_coinflip_local"," 0.003","-0.012"," 0.017","0.007"," 0.391","83.000","0.697"
"days_between_v1_and_coinflip_local"," 0.005","-0.010"," 0.020","0.008"," 0.667","83.000","0.506"
"any_response_2qs"," 0.035","-0.098"," 0.168","0.067"," 0.521","83.000","0.604"
"any_recent_eligible_dp","-1.068","-1.408","-0.727","0.171","-6.236","83.000","0.000"
"engagement_most_recent_eligible"," 0.871"," 0.612"," 1.131","0.130"," 6.680","83.000","0.000"
