"","estimate","LCL90","UCL90","SE","test_stat","df","p"
"High Effort Prompt (versus No Prompt)"," 0.292","-0.013"," 0.598","0.183"," 1.595","72.000","0.115"
"High Effort Prompt (versus No Prompt) x Hour","-0.007","-0.026"," 0.012","0.011","-0.639","72.000","0.525"
"Low Effort Prompt (versus No Prompt)"," 0.088","-0.218"," 0.395","0.184"," 0.480","72.000","0.633"
"Low Effort Prompt (versus No Prompt) x Hour","-0.005","-0.026"," 0.016","0.013","-0.382","72.000","0.704"
"Intercept","-0.327","-0.729"," 0.075","0.241","-1.355","72.000","0.180"
"age"," 0.002","-0.004"," 0.007","0.004"," 0.460","72.000","0.647"
"is_male","-0.138","-0.373"," 0.097","0.141","-0.981","72.000","0.330"
"is_latino"," 0.209","-0.026"," 0.445","0.141"," 1.482","72.000","0.143"
"is_not_latino_and_black"," 0.140","-0.084"," 0.363","0.134"," 1.040","72.000","0.302"
"is_not_latino_and_other"," 0.135","-0.172"," 0.443","0.184"," 0.735","72.000","0.465"
"baseline_tobacco_history"," 0.001","-0.011"," 0.012","0.007"," 0.081","72.000","0.936"
"has_partner"," 0.003","-0.172"," 0.177","0.105"," 0.026","72.000","0.979"
"income_val","-0.004","-0.031"," 0.022","0.016","-0.272","72.000","0.787"
"hour_coinflip_local"," 0.003","-0.009"," 0.015","0.007"," 0.391","72.000","0.697"
"days_between_v1_and_coinflip_local"," 0.005","-0.008"," 0.018","0.008"," 0.667","72.000","0.507"
"any_response_2qs"," 0.035","-0.077"," 0.147","0.067"," 0.521","72.000","0.604"
"any_recent_eligible_dp","-1.068","-1.353","-0.782","0.171","-6.236","72.000","0.000"
"engagement_most_recent_eligible"," 0.871"," 0.654"," 1.089","0.130"," 6.680","72.000","0.000"
