"","est_contrast","lcl_contrast","ucl_contrast","se_contrast","test_stat_contrast","degrees_of_freedom","p_value"
"Indicator for High vs. Low"," 0.204013406","-0.207335430","0.6153622","0.20634881"," 0.9886822","72.000","0.326129612"
"Indicator for High vs. Low x Hour","-0.002360726","-0.028550848","0.0238294","0.01313800","-0.1796869","72.000","0.857903136"
"High vs. Low at  0"," 0.204013406","-0.207335430","0.6153622","0.20634881"," 0.9886822","72.000","0.326129612"
"High vs. Low at  1"," 0.201652680","-0.184381150","0.5876865","0.19364980"," 1.0413265","72.000","0.301208113"
"High vs. Low at  2"," 0.199291954","-0.161551802","0.5601357","0.18101347"," 1.1009786","72.000","0.274573134"
"High vs. Low at  3"," 0.196931228","-0.138875501","0.5327380","0.16845391"," 1.1690511","72.000","0.246238936"
"High vs. Low at  4"," 0.194570502","-0.116389218","0.5055302","0.15598967"," 1.2473294","72.000","0.216318729"
"High vs. Low at  5"," 0.192209776","-0.094142421","0.4785620","0.14364556"," 1.3380836","72.000","0.185079919"
"High vs. Low at  6"," 0.189849050","-0.072202584","0.4519007","0.13145544"," 1.4442084","72.000","0.153018025"
"High vs. Low at  7"," 0.187488324","-0.050663691","0.4256403","0.11946645"," 1.5693806","72.000","0.120943941"
"High vs. Low at  8"," 0.185127598","-0.029659623","0.3999148","0.10774575"," 1.7181894","72.000","0.090059913"
"High vs. Low at  9"," 0.182766872","-0.009385577","0.3749193","0.09639125"," 1.8960940","72.000","0.061960489"
"High vs. Low at  10"," 0.180406146"," 0.009867523","0.3509448","0.08554890"," 2.1088072","72.000","0.038440466"
"High vs. Low at  11"," 0.178045420"," 0.027658834","0.3284320","0.07543985"," 2.3600978","72.000","0.020982864"
"High vs. Low at  12"," 0.175684694"," 0.043319013","0.3080504","0.06639985"," 2.6458598","72.000","0.009999788"
"High vs. Low at  13"," 0.173323968"," 0.055863051","0.2907849","0.05892303"," 2.9415318","72.000","0.004390253"
"High vs. Low at  14"," 0.170963242"," 0.063980509","0.2779460","0.05366676"," 3.1856449","72.000","0.002135835"
"High vs. Low at  15"," 0.168602516"," 0.066302034","0.2709030","0.05131796"," 3.2854486","72.000","0.001574778"
"High vs. Low at  16"," 0.166241790"," 0.062043340","0.2704402","0.05227005"," 3.1804403","72.000","0.002169704"
"High vs. Low at  17"," 0.163881063"," 0.051537438","0.2762247","0.05635600"," 2.9079614","72.000","0.004833806"
"High vs. Low at  18"," 0.161520337"," 0.035994609","0.2870461","0.06296866"," 2.5650909","72.000","0.012398707"
"High vs. Low at  19"," 0.159159611"," 0.016807331","0.3015119","0.07140952"," 2.2288290","72.000","0.028947328"
"High vs. Low at  20"," 0.156798885","-0.004890571","0.3184883","0.08110981"," 1.9331679","72.000","0.057148096"
"High vs. Low at  21"," 0.154438159","-0.028303827","0.3371801","0.09167059"," 1.6847078","72.000","0.096375291"
"High vs. Low at  22"," 0.152077433","-0.052904595","0.3570595","0.10282708"," 1.4789629","72.000","0.143512165"
"High vs. Low at  23"," 0.149716707","-0.078345730","0.3777791","0.11440512"," 1.3086539","72.000","0.194813485"
"High vs. Low at  24"," 0.147355981","-0.104396206","0.3991082","0.12628883"," 1.1668172","72.000","0.247134281"
