"","est_contrast","lcl_contrast","ucl_contrast","se_contrast","test_stat_contrast","degrees_of_freedom","p_value"
"Indicator for High vs. Low"," 0.204013406","-0.139824316","0.54785113","0.20634881"," 0.9886822","72.000","0.326129612"
"Indicator for High vs. Low x Hour","-0.002360726","-0.024252491","0.01953104","0.01313800","-0.1796869","72.000","0.857903136"
"High vs. Low at  0"," 0.204013406","-0.139824316","0.54785113","0.20634881"," 0.9886822","72.000","0.326129612"
"High vs. Low at  1"," 0.201652680","-0.121024768","0.52433013","0.19364980"," 1.0413265","72.000","0.301208113"
"High vs. Low at  2"," 0.199291954","-0.102329648","0.50091356","0.18101347"," 1.1009786","72.000","0.274573134"
"High vs. Low at  3"," 0.196931228","-0.083762458","0.47762491","0.16845391"," 1.1690511","72.000","0.246238936"
"High vs. Low at  4"," 0.194570502","-0.065354099","0.45449510","0.15598967"," 1.2473294","72.000","0.216318729"
"High vs. Low at  5"," 0.192209776","-0.047145921","0.43156547","0.14364556"," 1.3380836","72.000","0.185079919"
"High vs. Low at  6"," 0.189849050","-0.029194324","0.40889242","0.13145544"," 1.4442084","72.000","0.153018025"
"High vs. Low at  7"," 0.187488324","-0.011577868","0.38655452","0.11946645"," 1.5693806","72.000","0.120943941"
"High vs. Low at  8"," 0.185127598"," 0.005591539","0.36466366","0.10774575"," 1.7181894","72.000","0.090059913"
"High vs. Low at  9"," 0.182766872"," 0.022150736","0.34338301","0.09639125"," 1.8960940","72.000","0.061960489"
"High vs. Low at  10"," 0.180406146"," 0.037856546","0.32295574","0.08554890"," 2.1088072","72.000","0.038440466"
"High vs. Low at  11"," 0.178045420"," 0.052340479","0.30375036","0.07543985"," 2.3600978","72.000","0.020982864"
"High vs. Low at  12"," 0.175684694"," 0.065043043","0.28632634","0.06639985"," 2.6458598","72.000","0.009999788"
"High vs. Low at  13"," 0.173323968"," 0.075140892","0.27150704","0.05892303"," 2.9415318","72.000","0.004390253"
"High vs. Low at  14"," 0.170963242"," 0.081538656","0.26038783","0.05366676"," 3.1856449","72.000","0.002135835"
"High vs. Low at  15"," 0.168602516"," 0.083091724","0.25411331","0.05131796"," 3.2854486","72.000","0.001574778"
"High vs. Low at  16"," 0.166241790"," 0.079144527","0.25333905","0.05227005"," 3.1804403","72.000","0.002169704"
"High vs. Low at  17"," 0.163881063"," 0.069975422","0.25778670","0.05635600"," 2.9079614","72.000","0.004833806"
"High vs. Low at  18"," 0.161520337"," 0.056596057","0.26644462","0.06296866"," 2.5650909","72.000","0.012398707"
"High vs. Low at  19"," 0.159159611"," 0.040170375","0.27814885","0.07140952"," 2.2288290","72.000","0.028947328"
"High vs. Low at  20"," 0.156798885"," 0.021646116","0.29195165","0.08110981"," 1.9331679","72.000","0.057148096"
"High vs. Low at  21"," 0.154438159"," 0.001688029","0.30718829","0.09167059"," 1.6847078","72.000","0.096375291"
"High vs. Low at  22"," 0.152077433","-0.019262674","0.32341754","0.10282708"," 1.4789629","72.000","0.143512165"
"High vs. Low at  23"," 0.149716707","-0.040915822","0.34034924","0.11440512"," 1.3086539","72.000","0.194813485"
"High vs. Low at  24"," 0.147355981","-0.063078305","0.35779027","0.12628883"," 1.1668172","72.000","0.247134281"
