"","estimate","LCL95","UCL95","SE","test_stat","df","p"
"High Effort Prompt (versus No Prompt)"," 0.316","-0.787"," 1.419","0.554"," 0.570","81.000","0.570"
"High Effort Prompt (versus No Prompt) x Hour","-0.012","-0.167"," 0.143","0.078","-0.150","81.000","0.881"
"High Effort Prompt (versus No Prompt) x Hour x Hour"," 0.000","-0.005"," 0.006","0.003"," 0.071","81.000","0.944"
"Low Effort Prompt (versus No Prompt)"," 0.599","-0.748"," 1.947","0.677"," 0.885","81.000","0.379"
"Low Effort Prompt (versus No Prompt) x Hour","-0.083","-0.283"," 0.117","0.100","-0.827","81.000","0.411"
"Low Effort Prompt (versus No Prompt) x Hour x Hour"," 0.003","-0.004"," 0.010","0.004"," 0.779","81.000","0.439"
"Intercept","-0.730","-1.475"," 0.015","0.374","-1.950","81.000","0.055"
"age"," 0.002","-0.005"," 0.009","0.004"," 0.455","81.000","0.650"
"is_male","-0.137","-0.419"," 0.144","0.141","-0.970","81.000","0.335"
"is_latino"," 0.208","-0.073"," 0.488","0.141"," 1.474","81.000","0.144"
"is_not_latino_and_black"," 0.140","-0.127"," 0.407","0.134"," 1.045","81.000","0.299"
"is_not_latino_and_other"," 0.141","-0.225"," 0.507","0.184"," 0.766","81.000","0.446"
"baseline_tobacco_history"," 0.001","-0.013"," 0.014","0.007"," 0.087","81.000","0.931"
"has_partner"," 0.002","-0.206"," 0.210","0.105"," 0.019","81.000","0.985"
"income_val","-0.004","-0.036"," 0.028","0.016","-0.257","81.000","0.798"
"hour_coinflip_local"," 0.062","-0.033"," 0.158","0.048"," 1.298","81.000","0.198"
"days_between_v1_and_coinflip_local"," 0.005","-0.011"," 0.020","0.008"," 0.628","81.000","0.532"
"any_response_2qs"," 0.033","-0.100"," 0.166","0.067"," 0.492","81.000","0.624"
"any_recent_eligible_dp","-1.049","-1.380","-0.719","0.166","-6.324","81.000","0.000"
"engagement_most_recent_eligible"," 0.874"," 0.614"," 1.134","0.131"," 6.684","81.000","0.000"
"hour_coinflip_local_squared","-0.002","-0.006"," 0.001","0.002","-1.243","81.000","0.218"
