"","est_contrast","lcl_contrast","ucl_contrast","se_contrast","test_stat_contrast","degrees_of_freedom","p_value"
"Indicator for High vs. Low","-0.283259528","-1.412644753","0.846125696","0.677398699","-0.41815777","69.000","0.677130337"
"Indicator for High vs. Low x Hour"," 0.071292694","-0.095539523","0.238124910","0.100064995"," 0.71246387","69.000","0.478579930"
"Indicator for High vs. Low x Square of Hour","-0.002575469","-0.008445984","0.003295046","0.003521101","-0.73143863","69.000","0.466988129"
"High vs. Low at  0","-0.283259528","-1.412644753","0.846125696","0.677398699","-0.41815777","69.000","0.677130337"
"High vs. Low at  1","-0.214542304","-1.185944678","0.756860071","0.582641503","-0.36822352","69.000","0.713833851"
"High vs. Low at  2","-0.150976017","-0.976500812","0.674548778","0.495144978","-0.30491275","69.000","0.761350446"
"High vs. Low at  3","-0.092560669","-0.784447077","0.599325739","0.414989450","-0.22304343","69.000","0.824160689"
"High vs. Low at  4","-0.039296258","-0.609985754","0.531393237","0.342296246","-0.11480190","69.000","0.908935568"
"High vs. Low at  5"," 0.008817214","-0.453432155","0.471066583","0.277254487"," 0.03180188","69.000","0.974721860"
"High vs. Low at  6"," 0.051779748","-0.315292511","0.418852006","0.220167809"," 0.23518310","69.000","0.814763206"
"High vs. Low at  7"," 0.089591344","-0.196393985","0.375576673","0.171532340"," 0.52230002","69.000","0.603134345"
"High vs. Low at  8"," 0.122252002","-0.098058466","0.342562469","0.132140939"," 0.92516371","69.000","0.358105188"
"High vs. Low at  9"," 0.149761721","-0.022116031","0.321639473","0.103091278"," 1.45270992","69.000","0.150836974"
"High vs. Low at  10"," 0.172120503"," 0.030053141","0.314187865","0.085211179"," 2.01992867","69.000","0.047275660"
"High vs. Low at  11"," 0.189328347"," 0.060227292","0.318429401","0.077434063"," 2.44502665","69.000","0.017041207"
"High vs. Low at  12"," 0.201385252"," 0.074784417","0.327986087","0.075934446"," 2.65209352","69.000","0.009916777"
"High vs. Low at  13"," 0.208291219"," 0.081301915","0.335280524","0.076167447"," 2.73464881","69.000","0.007929538"
"High vs. Low at  14"," 0.210046249"," 0.084943056","0.335149441","0.075036169"," 2.79926671","69.000","0.006636122"
"High vs. Low at  15"," 0.206650340"," 0.087836834","0.325463846","0.071263651"," 2.89980006","69.000","0.005004303"
"High vs. Low at  16"," 0.198103493"," 0.089171328","0.307035658","0.065336880"," 3.03203172","69.000","0.003420077"
"High vs. Low at  17"," 0.184405708"," 0.084061133","0.284750282","0.060186093"," 3.06392552","69.000","0.003115174"
"High vs. Low at  18"," 0.165556984"," 0.062011178","0.269102791","0.062106173"," 2.66570899","69.000","0.009560560"
"High vs. Low at  19"," 0.141557323"," 0.012529956","0.270584690","0.077389866"," 1.82914548","69.000","0.071698952"
"High vs. Low at  20"," 0.112406724","-0.065072489","0.289885936","0.106451001"," 1.05594802","69.000","0.294675218"
"High vs. Low at  21"," 0.078105186","-0.166337297","0.322547669","0.146615182"," 0.53272236","69.000","0.595937319"
"High vs. Low at  22"," 0.038652710","-0.288016706","0.365322126","0.195934419"," 0.19727371","69.000","0.844193320"
"High vs. Low at  23","-0.005950703","-0.428459161","0.416557755","0.253418120","-0.02348176","69.000","0.981333765"
"High vs. Low at  24","-0.055705055","-0.586848062","0.475437952","0.318576491","-0.17485614","69.000","0.861704750"
