"","variable","estimates","LCL95","UCL95","std_err"
"1","(Intercept)","-0.3677020859","-1.78654316","1.05113899","0.72391181"
"2","is_high_effort"," 0.6758227012"," 0.36919475","0.98245065","0.15644571"
"3","is_low_effort"," 0.0827939155","-0.16814944","0.33373727","0.12803467"
"4","age"," 0.0061110976","-0.02162735","0.03384955","0.01415253"
"5","is_male","-0.4947099955","-1.29987361","0.31045362","0.41080531"
"6","is_latino"," 0.8202259958","-0.07101954","1.71147153","0.45472547"
"7","is_not_latino_and_black"," 0.5909469189","-0.21268200","1.39457584","0.41002229"
"8","is_not_latino_and_other"," 0.5624695511","-0.65750736","1.78244646","0.62244864"
"9","baseline_tobacco_history","-0.0001666009","-0.04644025","0.04610705","0.02360944"
"10","has_partner","-0.0978794417","-0.79164996","0.59589108","0.35397105"
"11","income_val","-0.0354337683","-0.14207785","0.07121032","0.05441125"
"12","hour_coinflip_local","-0.0033289073","-0.03470618","0.02804837","0.01600911"
"13","days_between_v1_and_coinflip_local"," 0.0312580511","-0.02797787","0.09049397","0.03022296"
"14","any_response_2qs"," 0.2750763438","-0.11618374","0.66633643","0.19962616"
