"","variable","estimates","LCL95","UCL95","std_err"
"1","(Intercept)"," 0.5127788653"," 0.255521069"," 0.770036661","0.131256389"
"2","is_high_effort"," 0.1461983570"," 0.084264645"," 0.208132069","0.031599413"
"3","is_low_effort"," 0.0320112449","-0.018570346"," 0.082592836","0.025807409"
"4","age"," 0.0006544582","-0.002880875"," 0.004189792","0.001803775"
"5","is_male","-0.0744636171","-0.188183902"," 0.039256668","0.058021620"
"6","is_latino"," 0.1121650741","-0.006879399"," 0.231209547","0.060738092"
"7","is_not_latino_and_black"," 0.0758784777","-0.038243390"," 0.190000345","0.058226512"
"8","is_not_latino_and_other"," 0.0805407637","-0.070861462"," 0.231942990","0.077247453"
"9","baseline_tobacco_history"," 0.0003578711","-0.005924657"," 0.006640399","0.003205430"
"10","has_partner"," 0.0061420933","-0.086824756"," 0.099108942","0.047432937"
"11","income_val","-0.0044057330","-0.018507013"," 0.009695547","0.007194663"
"12","hour_coinflip_local"," 0.0003821642","-0.005060578"," 0.005824906","0.002776960"
"13","days_between_v1_and_coinflip_local"," 0.0028979476","-0.004814884"," 0.010610779","0.003935191"
"14","any_response_2qs"," 0.0260372709","-0.035807631"," 0.087882173","0.031554101"
"15","any_recent_eligible_dp","-0.3155432307","-0.473567174","-0.157519287","0.080625942"
"16","engagement_most_recent_eligible"," 0.4474168256"," 0.361789182"," 0.533044469","0.043688376"
