"","coefficient","estimate","LCL95","UCL95","SE","HotellingT","p"
"Intercept","alpha0","-0.380","-0.941"," 0.181","0.282","-1.348","0.181"
"age","alpha1"," 0.002","-0.005"," 0.009","0.004"," 0.448","0.656"
"is_female","alpha2"," 0.137","-0.144"," 0.417","0.141"," 0.968","0.336"
"is_latino","alpha3"," 0.212","-0.072"," 0.495","0.143"," 1.485","0.141"
"is_not_latino_and_black","alpha4"," 0.141","-0.129"," 0.410","0.136"," 1.040","0.301"
"is_not_latino_and_other","alpha5"," 0.136","-0.233"," 0.504","0.185"," 0.732","0.466"
"baseline_tobacco_history","alpha6"," 0.001","-0.013"," 0.014","0.007"," 0.092","0.927"
"has_partner","alpha7"," 0.003","-0.206"," 0.212","0.105"," 0.027","0.979"
"income_val","alpha8","-0.004","-0.036"," 0.027","0.016","-0.272","0.786"
"hour_coinflip_local","alpha9"," 0.000","-0.010"," 0.010","0.005","-0.003","0.998"
"days_between_v1_and_coinflip_local","alpha10"," 0.005","-0.027"," 0.038","0.016"," 0.323","0.747"
"any_response_2qs","alpha11"," 0.031","-0.102"," 0.164","0.067"," 0.466","0.643"
"any_recent_eligible_dp","alpha12","-1.088","-1.439","-0.737","0.177","-6.160","0.000"
"engagement_most_recent_eligible","alpha13"," 0.871"," 0.612"," 1.130","0.130"," 6.693","0.000"
