"","coefficient","estimate","LCL95","UCL95","SE","HotellingT","p"
"Intercept","alpha0","-0.466","-1.095"," 0.163","0.316","-1.473","0.145"
"age","alpha1"," 0.002","-0.005"," 0.009","0.004"," 0.487","0.628"
"is_female","alpha2"," 0.134","-0.147"," 0.416","0.142"," 0.948","0.346"
"is_latino","alpha3"," 0.212","-0.073"," 0.496","0.143"," 1.480","0.143"
"is_not_latino_and_black","alpha4"," 0.139","-0.131"," 0.409","0.136"," 1.023","0.310"
"is_not_latino_and_other","alpha5"," 0.134","-0.239"," 0.506","0.187"," 0.713","0.478"
"baseline_tobacco_history","alpha6"," 0.001","-0.013"," 0.014","0.007"," 0.077","0.939"
"has_partner","alpha7"," 0.002","-0.208"," 0.212","0.106"," 0.023","0.982"
"income_val","alpha8","-0.004","-0.036"," 0.028","0.016","-0.254","0.800"
"hour_coinflip_local","alpha9","-0.001","-0.011"," 0.009","0.005","-0.121","0.904"
"days_between_v1_and_coinflip_local","alpha10"," 0.078","-0.104"," 0.260","0.091"," 0.855","0.395"
"any_response_2qs","alpha11"," 0.032","-0.102"," 0.165","0.067"," 0.474","0.637"
"any_recent_eligible_dp","alpha12","-1.142","-1.504","-0.779","0.182","-6.259","0.000"
"engagement_most_recent_eligible","alpha13"," 0.866"," 0.608"," 1.125","0.130"," 6.664","0.000"
"days_between_v1_and_coinflip_local_squared","alpha14","-0.007","-0.024"," 0.010","0.008","-0.850","0.398"
