"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.124"," 0.064","-0.005"," 0.252"," 0.016"," 0.231"," 1.922","74.000"," 0.059"
"any_app_usage_preblock","-0.033"," 0.074","-0.181"," 0.115","-0.157"," 0.091","-0.445","74.000"," 0.658"
"(Intercept)"," 0.124"," 0.064","-0.005"," 0.252"," 0.016"," 0.231"," 1.922","74.000"," 0.059"
"(Intercept) + any_app_usage_preblock"," 0.090"," 0.056","-0.020"," 0.201","-0.002"," 0.183"," 1.626","74.000"," 0.108"
"(Intercept)","-1.427"," 0.263","-1.951","-0.903","-1.865","-0.989","-5.426","74.000"," 0.000"
"any_app_usage_preblock"," 0.078"," 0.059","-0.039"," 0.194","-0.020"," 0.175"," 1.323","74.000"," 0.190"
"age"," 0.002"," 0.004","-0.005"," 0.009","-0.004"," 0.008"," 0.570","74.000"," 0.570"
"is_male","-0.141"," 0.147","-0.434"," 0.153","-0.386"," 0.104","-0.956","74.000"," 0.342"
"is_latino"," 0.209"," 0.149","-0.088"," 0.506","-0.040"," 0.457"," 1.400","74.000"," 0.166"
"is_not_latino_and_black"," 0.134"," 0.142","-0.149"," 0.417","-0.103"," 0.371"," 0.944","74.000"," 0.348"
"is_not_latino_and_other"," 0.122"," 0.194","-0.265"," 0.509","-0.201"," 0.446"," 0.629","74.000"," 0.531"
"baseline_tobacco_history"," 0.000"," 0.007","-0.013"," 0.014","-0.011"," 0.011"," 0.023","74.000"," 0.982"
"has_partner"," 0.008"," 0.109","-0.209"," 0.225","-0.174"," 0.189"," 0.071","74.000"," 0.943"
"income_val","-0.004"," 0.016","-0.037"," 0.029","-0.031"," 0.024","-0.233","74.000"," 0.817"
"hour_coinflip_local"," 0.002"," 0.005","-0.009"," 0.013","-0.007"," 0.011"," 0.365","74.000"," 0.716"
"days_between_v1_and_coinflip_local"," 0.006"," 0.008","-0.009"," 0.022","-0.007"," 0.019"," 0.816","74.000"," 0.417"
"any_response_2qs"," 0.037"," 0.069","-0.101"," 0.175","-0.079"," 0.153"," 0.531","74.000"," 0.597"
"engagement_most_recent_eligible"," 0.861"," 0.131"," 0.600"," 1.121"," 0.643"," 1.078"," 6.579","74.000"," 0.000"
