"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.074"," 0.091","-0.108"," 0.255","-0.078"," 0.225"," 0.807","75.000"," 0.422"
"any_response_2qs"," 0.044"," 0.099","-0.153"," 0.241","-0.121"," 0.208"," 0.442","75.000"," 0.660"
"(Intercept)"," 0.074"," 0.091","-0.108"," 0.255","-0.078"," 0.225"," 0.807","75.000"," 0.422"
"(Intercept) + any_response_2qs"," 0.117"," 0.052"," 0.013"," 0.222"," 0.030"," 0.205"," 2.235","75.000"," 0.028"
"(Intercept)","-1.375"," 0.253","-1.878","-0.871","-1.795","-0.954","-5.443","75.000"," 0.000"
"age"," 0.002"," 0.004","-0.005"," 0.009","-0.004"," 0.008"," 0.566","75.000"," 0.573"
"is_male","-0.144"," 0.148","-0.438"," 0.150","-0.390"," 0.102","-0.976","75.000"," 0.332"
"is_latino"," 0.209"," 0.148","-0.085"," 0.503","-0.037"," 0.455"," 1.414","75.000"," 0.162"
"is_not_latino_and_black"," 0.129"," 0.140","-0.150"," 0.408","-0.105"," 0.362"," 0.919","75.000"," 0.361"
"is_not_latino_and_other"," 0.117"," 0.192","-0.264"," 0.499","-0.202"," 0.436"," 0.612","75.000"," 0.542"
"baseline_tobacco_history"," 0.000"," 0.007","-0.013"," 0.014","-0.011"," 0.011"," 0.016","75.000"," 0.987"
"has_partner"," 0.007"," 0.108","-0.208"," 0.223","-0.173"," 0.188"," 0.068","75.000"," 0.946"
"income_val","-0.004"," 0.016","-0.036"," 0.028","-0.031"," 0.023","-0.254","75.000"," 0.800"
"hour_coinflip_local"," 0.002"," 0.005","-0.009"," 0.013","-0.007"," 0.011"," 0.368","75.000"," 0.714"
"days_between_v1_and_coinflip_local"," 0.006"," 0.008","-0.010"," 0.021","-0.007"," 0.018"," 0.721","75.000"," 0.473"
"any_response_2qs"," 0.015"," 0.090","-0.164"," 0.194","-0.134"," 0.165"," 0.170","75.000"," 0.865"
"engagement_most_recent_eligible"," 0.874"," 0.131"," 0.612"," 1.136"," 0.655"," 1.093"," 6.644","75.000"," 0.000"
