"","variable","exp_estimates","rrLB95","rrUB95","rrLB90","rrUB90"
"1","(Intercept)","1.104","0.850","1.434","0.888","1.374"
"2","any_app_usage_and_brief_survey_preblock","1.010","0.780","1.308","0.814","1.254"
"3","(Intercept)","1.104","0.850","1.434","0.888","1.374"
"4","(Intercept) + any_app_usage_and_brief_survey_preblock","1.116","1.015","1.226","1.031","1.207"
"5","(Intercept)","0.239","0.142","0.405","0.154","0.371"
"6","any_app_usage_and_brief_survey_preblock","1.094","0.866","1.383","0.900","1.331"
"7","age","1.002","0.995","1.009","0.996","1.008"
"8","is_male","0.871","0.650","1.169","0.682","1.114"
"9","is_latino","1.233","0.920","1.654","0.965","1.576"
"10","is_not_latino_and_black","1.143","0.865","1.509","0.906","1.442"
"11","is_not_latino_and_other","1.128","0.769","1.655","0.818","1.554"
"12","baseline_tobacco_history","1.000","0.987","1.014","0.989","1.011"
"13","has_partner","1.004","0.808","1.247","0.837","1.203"
"14","income_val","0.996","0.965","1.029","0.970","1.024"
"15","hour_coinflip_local","1.002","0.991","1.013","0.993","1.011"
"16","days_between_v1_and_coinflip_local","1.006","0.990","1.021","0.993","1.019"
"17","any_response_2qs","0.987","0.847","1.151","0.869","1.122"
"18","engagement_most_recent_eligible","2.380","1.836","3.085","1.916","2.956"
