"","variable","exp_estimates","rrLB95","rrUB95","rrLB90","rrUB90"
"1","(Intercept)","1.573","1.046","2.366","1.118","2.212"
"2","any_app_usage_and_ema_preblock","0.678","0.450","1.023","0.481","0.956"
"3","(Intercept)","1.573","1.046","2.366","1.118","2.212"
"4","(Intercept) + any_app_usage_and_ema_preblock","1.067","0.986","1.154","0.998","1.140"
"5","(Intercept)","0.172","0.094","0.317","0.103","0.287"
"6","any_app_usage_and_ema_preblock","1.916","1.332","2.757","1.414","2.597"
"7","age","1.002","0.995","1.008","0.996","1.007"
"8","is_male","0.882","0.665","1.170","0.697","1.117"
"9","is_latino","1.239","0.929","1.652","0.974","1.576"
"10","is_not_latino_and_black","1.145","0.872","1.502","0.912","1.436"
"11","is_not_latino_and_other","1.141","0.789","1.649","0.838","1.553"
"12","baseline_tobacco_history","1.001","0.988","1.014","0.990","1.011"
"13","has_partner","1.017","0.825","1.254","0.854","1.212"
"14","income_val","0.996","0.964","1.028","0.969","1.023"
"15","hour_coinflip_local","1.003","0.993","1.013","0.994","1.011"
"16","days_between_v1_and_coinflip_local","1.007","0.992","1.023","0.995","1.020"
"17","any_response_2qs","1.029","0.901","1.176","0.921","1.151"
"18","engagement_most_recent_eligible","1.820","1.424","2.325","1.482","2.234"
