"","variable","exp_estimates","rrLB95","rrUB95","rrLB90","rrUB90"
"1","(Intercept)","1.131","0.995","1.286","1.017","1.259"
"2","any_app_usage_preblock","0.967","0.834","1.122","0.855","1.095"
"3","(Intercept)","1.131","0.995","1.286","1.017","1.259"
"4","(Intercept) + any_app_usage_preblock","1.095","0.980","1.223","0.998","1.201"
"5","(Intercept)","0.240","0.142","0.405","0.155","0.372"
"6","any_app_usage_preblock","1.081","0.961","1.215","0.980","1.191"
"7","age","1.002","0.995","1.009","0.996","1.008"
"8","is_male","0.869","0.648","1.165","0.680","1.110"
"9","is_latino","1.232","0.915","1.659","0.961","1.580"
"10","is_not_latino_and_black","1.143","0.862","1.518","0.903","1.449"
"11","is_not_latino_and_other","1.130","0.767","1.664","0.818","1.561"
"12","baseline_tobacco_history","1.000","0.987","1.014","0.989","1.011"
"13","has_partner","1.008","0.811","1.252","0.841","1.208"
"14","income_val","0.996","0.964","1.029","0.969","1.024"
"15","hour_coinflip_local","1.002","0.991","1.013","0.993","1.011"
"16","days_between_v1_and_coinflip_local","1.006","0.991","1.022","0.993","1.019"
"17","any_response_2qs","1.038","0.903","1.192","0.924","1.165"
"18","engagement_most_recent_eligible","2.365","1.822","3.069","1.902","2.940"
