"","variable","exp_estimates","rrLB95","rrUB95","rrLB90","rrUB90"
"1","(Intercept)","1.076","0.898","1.290","0.925","1.253"
"2","any_response_2qs","1.045","0.858","1.272","0.886","1.232"
"3","(Intercept)","1.076","0.898","1.290","0.925","1.253"
"4","(Intercept) + any_response_2qs","1.124","1.013","1.248","1.030","1.227"
"5","(Intercept)","0.253","0.153","0.418","0.166","0.385"
"6","age","1.002","0.995","1.009","0.996","1.008"
"7","is_male","0.866","0.645","1.162","0.677","1.107"
"8","is_latino","1.232","0.918","1.654","0.964","1.576"
"9","is_not_latino_and_black","1.137","0.860","1.504","0.901","1.436"
"10","is_not_latino_and_other","1.124","0.768","1.647","0.817","1.547"
"11","baseline_tobacco_history","1.000","0.987","1.014","0.989","1.011"
"12","has_partner","1.007","0.812","1.250","0.841","1.206"
"13","income_val","0.996","0.964","1.029","0.969","1.023"
"14","hour_coinflip_local","1.002","0.991","1.013","0.993","1.011"
"15","days_between_v1_and_coinflip_local","1.006","0.990","1.021","0.993","1.018"
"16","any_response_2qs","1.015","0.849","1.215","0.874","1.180"
"17","engagement_most_recent_eligible","2.396","1.844","3.113","1.925","2.982"
