"","variable","exp_estimates","rrLB95","rrUB95","rrLB90","rrUB90"
"1","(Intercept)","1.417","1.039","1.931","1.093","1.835"
"2","engagement_most_recent_eligible","0.741","0.541","1.014","0.570","0.963"
"3","(Intercept)","1.417","1.039","1.931","1.093","1.835"
"4","(Intercept) + engagement_most_recent_eligible","1.049","0.972","1.133","0.984","1.119"
"5","(Intercept)","0.214","0.119","0.386","0.131","0.350"
"6","age","1.002","0.995","1.009","0.996","1.008"
"7","is_male","0.873","0.653","1.167","0.684","1.113"
"8","is_latino","1.236","0.922","1.658","0.968","1.580"
"9","is_not_latino_and_black","1.137","0.864","1.498","0.904","1.432"
"10","is_not_latino_and_other","1.138","0.784","1.652","0.834","1.554"
"11","baseline_tobacco_history","1.001","0.987","1.014","0.990","1.012"
"12","has_partner","1.013","0.819","1.253","0.848","1.210"
"13","income_val","0.995","0.964","1.028","0.969","1.022"
"14","hour_coinflip_local","1.003","0.992","1.013","0.994","1.012"
"15","days_between_v1_and_coinflip_local","1.007","0.992","1.022","0.994","1.020"
"16","any_response_2qs","1.033","0.903","1.182","0.923","1.156"
"17","engagement_most_recent_eligible","2.802","1.977","3.972","2.094","3.751"
