"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.246"," 0.226","-0.204"," 0.697","-0.130"," 0.623"," 1.091","71.000"," 0.279"
"FFMQ_total","-0.038"," 0.061","-0.160"," 0.084","-0.140"," 0.064","-0.615","71.000"," 0.541"
"(Intercept)","-1.448"," 0.351","-2.147","-0.749","-2.032","-0.864","-4.129","71.000"," 0.000"
"FFMQ_total"," 0.016"," 0.064","-0.111"," 0.143","-0.090"," 0.122"," 0.248","71.000"," 0.805"
"age"," 0.002"," 0.005","-0.007"," 0.011","-0.006"," 0.009"," 0.406","71.000"," 0.686"
"is_male","-0.157"," 0.162","-0.479"," 0.166","-0.426"," 0.113","-0.970","71.000"," 0.335"
"is_latino"," 0.195"," 0.149","-0.101"," 0.491","-0.053"," 0.442"," 1.312","71.000"," 0.194"
"is_not_latino_and_black"," 0.156"," 0.138","-0.120"," 0.431","-0.075"," 0.386"," 1.127","71.000"," 0.263"
"is_not_latino_and_other"," 0.126"," 0.192","-0.256"," 0.508","-0.193"," 0.445"," 0.658","71.000"," 0.513"
"baseline_tobacco_history"," 0.001"," 0.007","-0.013"," 0.015","-0.010"," 0.013"," 0.149","71.000"," 0.882"
"has_partner","-0.005"," 0.111","-0.225"," 0.216","-0.189"," 0.180","-0.043","71.000"," 0.966"
"income_val","-0.007"," 0.016","-0.040"," 0.026","-0.034"," 0.021","-0.418","71.000"," 0.677"
"hour_coinflip_local"," 0.000"," 0.005","-0.010"," 0.010","-0.009"," 0.009"," 0.010","71.000"," 0.992"
"days_between_v1_and_coinflip_local"," 0.005"," 0.008","-0.012"," 0.021","-0.009"," 0.018"," 0.565","71.000"," 0.574"
"any_response_2qs"," 0.078"," 0.069","-0.060"," 0.216","-0.037"," 0.193"," 1.130","71.000"," 0.262"
"engagement_most_recent_eligible"," 0.878"," 0.137"," 0.604"," 1.152"," 0.649"," 1.107"," 6.394","71.000"," 0.000"
