"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.153"," 0.098","-0.042"," 0.347","-0.010"," 0.315"," 1.560","74.000"," 0.123"
"Nicotine_dep","-0.017"," 0.030","-0.077"," 0.043","-0.067"," 0.033","-0.570","74.000"," 0.570"
"(Intercept)","-1.300"," 0.275","-1.848","-0.752","-1.758","-0.842","-4.724","74.000"," 0.000"
"Nicotine_dep","-0.019"," 0.047","-0.113"," 0.076","-0.097"," 0.060","-0.393","74.000"," 0.695"
"age"," 0.001"," 0.003","-0.006"," 0.008","-0.005"," 0.007"," 0.291","74.000"," 0.772"
"is_male","-0.154"," 0.146","-0.445"," 0.137","-0.397"," 0.089","-1.054","74.000"," 0.295"
"is_latino"," 0.216"," 0.144","-0.071"," 0.504","-0.024"," 0.456"," 1.502","74.000"," 0.137"
"is_not_latino_and_black"," 0.159"," 0.139","-0.118"," 0.436","-0.072"," 0.391"," 1.145","74.000"," 0.256"
"is_not_latino_and_other"," 0.138"," 0.185","-0.231"," 0.506","-0.170"," 0.446"," 0.745","74.000"," 0.459"
"baseline_tobacco_history"," 0.004"," 0.009","-0.013"," 0.021","-0.011"," 0.018"," 0.434","74.000"," 0.666"
"has_partner"," 0.013"," 0.105","-0.196"," 0.222","-0.162"," 0.188"," 0.122","74.000"," 0.903"
"income_val","-0.007"," 0.016","-0.040"," 0.026","-0.034"," 0.020","-0.422","74.000"," 0.674"
"hour_coinflip_local"," 0.000"," 0.005","-0.010"," 0.010","-0.008"," 0.009"," 0.069","74.000"," 0.945"
"days_between_v1_and_coinflip_local"," 0.003"," 0.008","-0.013"," 0.019","-0.010"," 0.016"," 0.349","74.000"," 0.728"
"any_response_2qs"," 0.044"," 0.069","-0.094"," 0.181","-0.071"," 0.159"," 0.635","74.000"," 0.527"
"engagement_most_recent_eligible"," 0.857"," 0.130"," 0.598"," 1.116"," 0.640"," 1.074"," 6.586","74.000"," 0.000"
