"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.127"," 0.049"," 0.029"," 0.224"," 0.045"," 0.208"," 2.583","74.000"," 0.012"
"ecig_1","-0.190"," 0.180","-0.549"," 0.169","-0.490"," 0.110","-1.055","74.000"," 0.295"
"(Intercept)","-1.299"," 0.276","-1.848","-0.750","-1.758","-0.840","-4.715","74.000"," 0.000"
"ecig_1","-0.019"," 0.208","-0.433"," 0.396","-0.365"," 0.328","-0.089","74.000"," 0.929"
"age"," 0.001"," 0.004","-0.006"," 0.009","-0.005"," 0.007"," 0.326","74.000"," 0.745"
"is_male","-0.149"," 0.141","-0.430"," 0.133","-0.384"," 0.087","-1.053","74.000"," 0.296"
"is_latino"," 0.200"," 0.149","-0.098"," 0.498","-0.049"," 0.449"," 1.339","74.000"," 0.185"
"is_not_latino_and_black"," 0.140"," 0.139","-0.136"," 0.416","-0.091"," 0.371"," 1.011","74.000"," 0.315"
"is_not_latino_and_other"," 0.103"," 0.192","-0.280"," 0.486","-0.218"," 0.423"," 0.534","74.000"," 0.595"
"baseline_tobacco_history"," 0.000"," 0.007","-0.015"," 0.014","-0.012"," 0.012","-0.053","74.000"," 0.958"
"has_partner"," 0.016"," 0.105","-0.193"," 0.226","-0.159"," 0.192"," 0.156","74.000"," 0.877"
"income_val","-0.008"," 0.016","-0.041"," 0.025","-0.035"," 0.019","-0.486","74.000"," 0.628"
"hour_coinflip_local"," 0.001"," 0.005","-0.009"," 0.011","-0.007"," 0.009"," 0.168","74.000"," 0.867"
"days_between_v1_and_coinflip_local"," 0.003"," 0.008","-0.012"," 0.019","-0.010"," 0.016"," 0.419","74.000"," 0.677"
"any_response_2qs"," 0.046"," 0.067","-0.087"," 0.179","-0.065"," 0.157"," 0.690","74.000"," 0.492"
"engagement_most_recent_eligible"," 0.858"," 0.129"," 0.602"," 1.115"," 0.644"," 1.073"," 6.664","74.000"," 0.000"
