"","Estimate","95% LCL","95% UCL","StdErr","t_value","df","p-value"
"(Intercept)"," 0.117"," 0.015"," 0.220"," 0.051"," 2.288","74.000"," 0.025"
"ecig_4","-0.017","-0.073"," 0.040"," 0.028","-0.587","74.000"," 0.559"
"(Intercept)","-1.350","-1.889","-0.811"," 0.270","-4.994","74.000"," 0.000"
"ecig_4"," 0.012","-0.029"," 0.053"," 0.020"," 0.587","74.000"," 0.559"
"age"," 0.001","-0.006"," 0.009"," 0.004"," 0.417","74.000"," 0.678"
"is_male","-0.142","-0.434"," 0.149"," 0.146","-0.973","74.000"," 0.334"
"is_latino"," 0.216","-0.097"," 0.529"," 0.157"," 1.376","74.000"," 0.173"
"is_not_latino_and_black"," 0.143","-0.146"," 0.432"," 0.145"," 0.988","74.000"," 0.326"
"is_not_latino_and_other"," 0.134","-0.265"," 0.533"," 0.200"," 0.667","74.000"," 0.507"
"baseline_tobacco_history"," 0.000","-0.013"," 0.014"," 0.007"," 0.055","74.000"," 0.957"
"has_partner"," 0.014","-0.197"," 0.225"," 0.106"," 0.135","74.000"," 0.893"
"income_val","-0.006","-0.038"," 0.027"," 0.016","-0.335","74.000"," 0.738"
"hour_coinflip_local"," 0.000","-0.010"," 0.010"," 0.005"," 0.080","74.000"," 0.936"
"days_between_v1_and_coinflip_local"," 0.004","-0.012"," 0.019"," 0.008"," 0.471","74.000"," 0.639"
"any_response_2qs"," 0.047","-0.087"," 0.180"," 0.067"," 0.696","74.000"," 0.488"
"engagement_most_recent_eligible"," 0.858"," 0.599"," 1.118"," 0.130"," 6.600","74.000"," 0.000"
