"","Estimate","95% LCL","95% UCL","StdErr","t_value","df","p-value"
"(Intercept)"," 0.164","-0.215"," 0.542"," 0.190"," 0.863","71.000"," 0.391"
"ffmq_aware","-0.014","-0.113"," 0.085"," 0.049","-0.284","71.000"," 0.778"
"(Intercept)","-1.438","-2.118","-0.758"," 0.341","-4.217","71.000"," 0.000"
"ffmq_aware"," 0.029","-0.097"," 0.156"," 0.063"," 0.464","71.000"," 0.644"
"age"," 0.001","-0.007"," 0.009"," 0.004"," 0.172","71.000"," 0.864"
"is_male","-0.181","-0.492"," 0.131"," 0.156","-1.157","71.000"," 0.251"
"is_latino"," 0.188","-0.121"," 0.496"," 0.155"," 1.213","71.000"," 0.229"
"is_not_latino_and_black"," 0.144","-0.147"," 0.435"," 0.146"," 0.985","71.000"," 0.328"
"is_not_latino_and_other"," 0.109","-0.280"," 0.498"," 0.195"," 0.559","71.000"," 0.578"
"baseline_tobacco_history"," 0.001","-0.012"," 0.014"," 0.007"," 0.199","71.000"," 0.842"
"has_partner","-0.017","-0.228"," 0.194"," 0.106","-0.160","71.000"," 0.873"
"income_val","-0.007","-0.040"," 0.026"," 0.016","-0.406","71.000"," 0.686"
"hour_coinflip_local"," 0.000","-0.010"," 0.011"," 0.005"," 0.032","71.000"," 0.974"
"days_between_v1_and_coinflip_local"," 0.006","-0.010"," 0.022"," 0.008"," 0.693","71.000"," 0.491"
"any_response_2qs"," 0.078","-0.060"," 0.217"," 0.069"," 1.126","71.000"," 0.264"
"engagement_most_recent_eligible"," 0.877"," 0.606"," 1.147"," 0.136"," 6.456","71.000"," 0.000"
