"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.297"," 0.208","-0.117"," 0.711","-0.049"," 0.643"," 1.430","71.000"," 0.157"
"ffmq_nonjudge","-0.052"," 0.058","-0.167"," 0.062","-0.148"," 0.044","-0.909","71.000"," 0.366"
"(Intercept)","-1.425"," 0.335","-2.094","-0.757","-1.984","-0.867","-4.254","71.000"," 0.000"
"ffmq_nonjudge","-0.006"," 0.060","-0.126"," 0.114","-0.106"," 0.095","-0.097","71.000"," 0.923"
"age"," 0.003"," 0.004","-0.006"," 0.012","-0.005"," 0.010"," 0.641","71.000"," 0.524"
"is_male","-0.144"," 0.161","-0.466"," 0.178","-0.413"," 0.125","-0.893","71.000"," 0.375"
"is_latino"," 0.209"," 0.143","-0.076"," 0.494","-0.029"," 0.447"," 1.464","71.000"," 0.148"
"is_not_latino_and_black"," 0.156"," 0.136","-0.114"," 0.426","-0.070"," 0.382"," 1.150","71.000"," 0.254"
"is_not_latino_and_other"," 0.128"," 0.201","-0.273"," 0.529","-0.207"," 0.463"," 0.637","71.000"," 0.526"
"baseline_tobacco_history"," 0.001"," 0.007","-0.014"," 0.015","-0.011"," 0.013"," 0.121","71.000"," 0.904"
"has_partner"," 0.012"," 0.120","-0.228"," 0.252","-0.188"," 0.213"," 0.102","71.000"," 0.919"
"income_val","-0.007"," 0.017","-0.040"," 0.026","-0.034"," 0.021","-0.411","71.000"," 0.683"
"hour_coinflip_local"," 0.000"," 0.005","-0.010"," 0.010","-0.008"," 0.009"," 0.017","71.000"," 0.986"
"days_between_v1_and_coinflip_local"," 0.004"," 0.008","-0.012"," 0.020","-0.010"," 0.017"," 0.470","71.000"," 0.640"
"any_response_2qs"," 0.077"," 0.068","-0.058"," 0.212","-0.036"," 0.190"," 1.132","71.000"," 0.262"
"engagement_most_recent_eligible"," 0.878"," 0.136"," 0.606"," 1.150"," 0.651"," 1.105"," 6.437","71.000"," 0.000"
