"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.132"," 0.051"," 0.030"," 0.233"," 0.047"," 0.217"," 2.586","68.000"," 0.012"
"gratitude_cs","-0.108"," 0.043","-0.194","-0.022","-0.180","-0.036","-2.493","68.000"," 0.015"
"(Intercept) - 2*gratitude_cs"," 0.347"," 0.115"," 0.118"," 0.577"," 0.156"," 0.539"," 3.027","68.000"," 0.003"
"(Intercept) - 1.5*gratitude_cs"," 0.294"," 0.096"," 0.103"," 0.484"," 0.134"," 0.453"," 3.072","68.000"," 0.003"
"(Intercept) - gratitude_cs"," 0.240"," 0.078"," 0.085"," 0.394"," 0.110"," 0.369"," 3.089","68.000"," 0.003"
"(Intercept) - 0.5*gratitude_cs"," 0.186"," 0.062"," 0.062"," 0.309"," 0.082"," 0.289"," 2.998","68.000"," 0.004"
"(Intercept)"," 0.132"," 0.051"," 0.030"," 0.233"," 0.047"," 0.217"," 2.586","68.000"," 0.012"
"(Intercept) + 0.5*gratitude_cs"," 0.078"," 0.048","-0.018"," 0.173","-0.002"," 0.158"," 1.627","68.000"," 0.108"
"(Intercept) + gratitude_cs"," 0.024"," 0.054","-0.084"," 0.132","-0.066"," 0.114"," 0.442","68.000"," 0.660"
"(Intercept) + 1.5*gratitude_cs","-0.030"," 0.067","-0.164"," 0.104","-0.142"," 0.082","-0.449","68.000"," 0.655"
"(Intercept) + 2*gratitude_cs","-0.084"," 0.084","-0.251"," 0.083","-0.223"," 0.055","-1.005","68.000"," 0.319"
"(Intercept)","-1.331"," 0.287","-1.904","-0.758","-1.810","-0.852","-4.632","68.000"," 0.000"
"gratitude_cs"," 0.126"," 0.059"," 0.009"," 0.243"," 0.029"," 0.224"," 2.156","68.000"," 0.035"
"age"," 0.002"," 0.004","-0.006"," 0.010","-0.005"," 0.009"," 0.462","68.000"," 0.646"
"is_male","-0.171"," 0.162","-0.493"," 0.152","-0.440"," 0.099","-1.057","68.000"," 0.294"
"is_latino"," 0.137"," 0.155","-0.173"," 0.447","-0.122"," 0.396"," 0.881","68.000"," 0.382"
"is_not_latino_and_black"," 0.083"," 0.158","-0.232"," 0.398","-0.180"," 0.346"," 0.525","68.000"," 0.601"
"is_not_latino_and_other"," 0.086"," 0.232","-0.377"," 0.549","-0.301"," 0.473"," 0.370","68.000"," 0.713"
"baseline_tobacco_history"," 0.000"," 0.009","-0.017"," 0.018","-0.015"," 0.015"," 0.022","68.000"," 0.982"
"has_partner"," 0.028"," 0.127","-0.225"," 0.282","-0.184"," 0.240"," 0.223","68.000"," 0.824"
"income_val","-0.012"," 0.018","-0.047"," 0.024","-0.042"," 0.018","-0.670","68.000"," 0.505"
"hour_coinflip_local"," 0.001"," 0.005","-0.010"," 0.011","-0.008"," 0.009"," 0.121","68.000"," 0.904"
"days_between_v1_and_coinflip_local"," 0.004"," 0.008","-0.012"," 0.020","-0.009"," 0.017"," 0.510","68.000"," 0.611"
"any_response_2qs"," 0.051"," 0.070","-0.088"," 0.190","-0.065"," 0.167"," 0.733","68.000"," 0.466"
"engagement_most_recent_eligible"," 0.875"," 0.139"," 0.599"," 1.152"," 0.644"," 1.106"," 6.315","68.000"," 0.000"
