"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.208"," 0.102"," 0.004"," 0.412"," 0.038"," 0.378"," 2.037","68.000"," 0.046"
"mdes_neg_mean","-0.095"," 0.071","-0.237"," 0.047","-0.214"," 0.024","-1.335","68.000"," 0.186"
"(Intercept)","-1.537"," 0.315","-2.165","-0.909","-2.062","-1.012","-4.881","68.000"," 0.000"
"mdes_neg_mean"," 0.120"," 0.078","-0.036"," 0.275","-0.010"," 0.249"," 1.535","68.000"," 0.130"
"age"," 0.003"," 0.004","-0.004"," 0.011","-0.003"," 0.010"," 0.923","68.000"," 0.359"
"is_male","-0.109"," 0.160","-0.429"," 0.211","-0.377"," 0.159","-0.679","68.000"," 0.500"
"is_latino"," 0.191"," 0.156","-0.119"," 0.502","-0.068"," 0.451"," 1.229","68.000"," 0.223"
"is_not_latino_and_black"," 0.136"," 0.156","-0.174"," 0.447","-0.123"," 0.396"," 0.875","68.000"," 0.385"
"is_not_latino_and_other"," 0.137"," 0.202","-0.265"," 0.540","-0.199"," 0.474"," 0.681","68.000"," 0.498"
"baseline_tobacco_history","-0.003"," 0.009","-0.020"," 0.014","-0.017"," 0.011","-0.348","68.000"," 0.729"
"has_partner"," 0.004"," 0.123","-0.241"," 0.249","-0.201"," 0.209"," 0.034","68.000"," 0.973"
"income_val","-0.006"," 0.019","-0.043"," 0.032","-0.037"," 0.026","-0.307","68.000"," 0.760"
"hour_coinflip_local","-0.001"," 0.005","-0.011"," 0.010","-0.009"," 0.008","-0.133","68.000"," 0.895"
"days_between_v1_and_coinflip_local"," 0.004"," 0.008","-0.012"," 0.020","-0.009"," 0.018"," 0.509","68.000"," 0.612"
"any_response_2qs"," 0.081"," 0.071","-0.060"," 0.222","-0.037"," 0.199"," 1.143","68.000"," 0.257"
"engagement_most_recent_eligible"," 0.872"," 0.138"," 0.596"," 1.147"," 0.642"," 1.102"," 6.317","68.000"," 0.000"
