"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.098"," 0.054","-0.010"," 0.205"," 0.008"," 0.188"," 1.808","74.000"," 0.075"
"phqa_problem"," 0.036"," 0.115","-0.194"," 0.265","-0.156"," 0.227"," 0.309","74.000"," 0.758"
"(Intercept)","-1.296"," 0.255","-1.803","-0.788","-1.720","-0.872","-5.089","74.000"," 0.000"
"phqa_problem","-0.094"," 0.147","-0.386"," 0.199","-0.338"," 0.151","-0.639","74.000"," 0.525"
"age"," 0.001"," 0.004","-0.006"," 0.008","-0.005"," 0.007"," 0.291","74.000"," 0.772"
"is_male","-0.148"," 0.148","-0.444"," 0.147","-0.395"," 0.098","-1.002","74.000"," 0.320"
"is_latino"," 0.234"," 0.152","-0.068"," 0.536","-0.018"," 0.487"," 1.545","74.000"," 0.126"
"is_not_latino_and_black"," 0.149"," 0.137","-0.124"," 0.422","-0.079"," 0.377"," 1.087","74.000"," 0.281"
"is_not_latino_and_other"," 0.119"," 0.185","-0.249"," 0.488","-0.188"," 0.427"," 0.646","74.000"," 0.520"
"baseline_tobacco_history"," 0.000"," 0.007","-0.014"," 0.014","-0.012"," 0.011","-0.022","74.000"," 0.983"
"has_partner"," 0.005"," 0.105","-0.203"," 0.213","-0.169"," 0.179"," 0.047","74.000"," 0.962"
"income_val","-0.006"," 0.017","-0.039"," 0.027","-0.034"," 0.022","-0.375","74.000"," 0.709"
"hour_coinflip_local"," 0.001"," 0.005","-0.010"," 0.011","-0.008"," 0.009"," 0.115","74.000"," 0.909"
"days_between_v1_and_coinflip_local"," 0.004"," 0.008","-0.012"," 0.019","-0.009"," 0.017"," 0.457","74.000"," 0.649"
"any_response_2qs"," 0.052"," 0.068","-0.083"," 0.188","-0.061"," 0.166"," 0.769","74.000"," 0.444"
"engagement_most_recent_eligible"," 0.858"," 0.129"," 0.600"," 1.116"," 0.642"," 1.073"," 6.632","74.000"," 0.000"
