"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.094"," 0.097","-0.101"," 0.288","-0.069"," 0.256"," 0.960","68.000"," 0.341"
"uclals_mean"," 0.015"," 0.061","-0.106"," 0.136","-0.086"," 0.116"," 0.245","68.000"," 0.807"
"(Intercept)","-1.432"," 0.323","-2.077","-0.787","-1.971","-0.893","-4.429","68.000"," 0.000"
"uclals_mean"," 0.031"," 0.075","-0.118"," 0.180","-0.093"," 0.156"," 0.419","68.000"," 0.677"
"age"," 0.002"," 0.004","-0.006"," 0.011","-0.005"," 0.009"," 0.563","68.000"," 0.576"
"is_male","-0.145"," 0.158","-0.460"," 0.170","-0.409"," 0.118","-0.918","68.000"," 0.362"
"is_latino"," 0.205"," 0.151","-0.096"," 0.507","-0.046"," 0.457"," 1.360","68.000"," 0.178"
"is_not_latino_and_black"," 0.153"," 0.149","-0.144"," 0.450","-0.095"," 0.401"," 1.027","68.000"," 0.308"
"is_not_latino_and_other"," 0.131"," 0.200","-0.267"," 0.530","-0.202"," 0.465"," 0.657","68.000"," 0.513"
"baseline_tobacco_history","-0.003"," 0.009","-0.020"," 0.015","-0.018"," 0.012","-0.313","68.000"," 0.755"
"has_partner"," 0.025"," 0.123","-0.221"," 0.271","-0.180"," 0.230"," 0.202","68.000"," 0.841"
"income_val","-0.007"," 0.017","-0.042"," 0.028","-0.036"," 0.022","-0.418","68.000"," 0.678"
"hour_coinflip_local"," 0.000"," 0.005","-0.011"," 0.010","-0.009"," 0.008","-0.075","68.000"," 0.940"
"days_between_v1_and_coinflip_local"," 0.005"," 0.008","-0.011"," 0.022","-0.008"," 0.019"," 0.651","68.000"," 0.517"
"any_response_2qs"," 0.085"," 0.071","-0.057"," 0.227","-0.034"," 0.204"," 1.193","68.000"," 0.237"
"engagement_most_recent_eligible"," 0.882"," 0.136"," 0.611"," 1.153"," 0.656"," 1.109"," 6.491","68.000"," 0.000"
