"","variable","exp_estimates","rrLB95","rrUB95","rrLB90","rrUB90"
"1","(Intercept)","2.261","1.252","4.083","1.380","3.705"
"2","gratitude","0.889","0.809","0.977","0.822","0.962"
"3","(Intercept) + 3*gratitude","1.589","1.159","2.178","1.221","2.068"
"4","(Intercept) + 3.05*gratitude","1.579","1.157","2.156","1.218","2.048"
"5","(Intercept) + 3.1*gratitude","1.570","1.156","2.133","1.215","2.029"
"6","(Intercept) + 3.15*gratitude","1.561","1.154","2.111","1.213","2.009"
"7","(Intercept) + 3.2*gratitude","1.552","1.152","2.090","1.210","1.990"
"8","(Intercept) + 3.25*gratitude","1.543","1.151","2.068","1.207","1.971"
"9","(Intercept) + 3.3*gratitude","1.534","1.149","2.047","1.205","1.952"
"10","(Intercept) + 3.35*gratitude","1.525","1.147","2.026","1.202","1.933"
"11","(Intercept) + 3.4*gratitude","1.516","1.146","2.005","1.200","1.915"
"12","(Intercept) + 3.45*gratitude","1.507","1.144","1.984","1.197","1.897"
"13","(Intercept) + 3.5*gratitude","1.498","1.142","1.964","1.194","1.879"
"14","(Intercept) + 3.55*gratitude","1.489","1.141","1.944","1.192","1.861"
"15","(Intercept) + 3.6*gratitude","1.480","1.139","1.924","1.189","1.843"
"16","(Intercept) + 3.65*gratitude","1.472","1.137","1.905","1.187","1.826"
"17","(Intercept) + 3.7*gratitude","1.463","1.136","1.885","1.184","1.808"
"18","(Intercept) + 3.75*gratitude","1.455","1.134","1.866","1.181","1.791"
"19","(Intercept) + 3.8*gratitude","1.446","1.132","1.847","1.179","1.774"
"20","(Intercept) + 3.85*gratitude","1.438","1.130","1.828","1.176","1.757"
"21","(Intercept) + 3.9*gratitude","1.429","1.129","1.810","1.173","1.741"
"22","(Intercept) + 3.95*gratitude","1.421","1.127","1.791","1.171","1.724"
"23","(Intercept) + 4*gratitude","1.412","1.125","1.773","1.168","1.708"
"24","(Intercept) + 4.05*gratitude","1.404","1.123","1.755","1.165","1.692"
"25","(Intercept) + 4.1*gratitude","1.396","1.121","1.738","1.162","1.676"
"26","(Intercept) + 4.15*gratitude","1.388","1.120","1.720","1.160","1.660"
"27","(Intercept) + 4.2*gratitude","1.380","1.118","1.703","1.157","1.645"
"28","(Intercept) + 4.25*gratitude","1.371","1.116","1.686","1.154","1.630"
"29","(Intercept) + 4.3*gratitude","1.363","1.114","1.669","1.151","1.614"
"30","(Intercept) + 4.35*gratitude","1.355","1.112","1.652","1.149","1.599"
"31","(Intercept) + 4.4*gratitude","1.347","1.110","1.636","1.146","1.585"
"32","(Intercept) + 4.45*gratitude","1.340","1.108","1.620","1.143","1.570"
"33","(Intercept) + 4.5*gratitude","1.332","1.106","1.604","1.140","1.555"
"34","(Intercept) + 4.55*gratitude","1.324","1.104","1.588","1.137","1.541"
