"","variable","exp_estimates","rrLB95","rrUB95","rrLB90","rrUB90"
"1","(Intercept)","1.141","1.031","1.263","1.048","1.242"
"2","gratitude_c","0.889","0.809","0.977","0.822","0.962"
"3","(Intercept) - 1.83380268336236*gratitude_c","1.415","1.126","1.780","1.169","1.714"
"4","(Intercept) - 1.37535201252177*gratitude_c","1.341","1.108","1.623","1.144","1.573"
"5","(Intercept) - 0.916901341681178*gratitude_c","1.271","1.089","1.483","1.117","1.446"
"6","(Intercept) - 0.458450670840589*gratitude_c","1.204","1.064","1.362","1.086","1.335"
"7","(Intercept)","1.141","1.031","1.263","1.048","1.242"
"8","(Intercept) + 0.458450670840589*gratitude_c","1.081","0.983","1.189","0.998","1.171"
"9","(Intercept) + 0.916901341681178*gratitude_c","1.024","0.920","1.141","0.936","1.121"
"10","(Intercept) + 1.37535201252177*gratitude_c","0.970","0.849","1.109","0.868","1.085"
"11","(Intercept) + 1.83380268336236*gratitude_c","0.919","0.778","1.086","0.800","1.057"
"12","(Intercept)","0.264","0.149","0.469","0.164","0.427"
"13","gratitude_c","1.148","1.010","1.304","1.032","1.277"
"14","age","1.002","0.994","1.010","0.995","1.009"
"15","is_male","0.843","0.611","1.164","0.644","1.104"
"16","is_latino","1.147","0.841","1.564","0.885","1.486"
"17","is_not_latino_and_black","1.087","0.793","1.489","0.835","1.414"
"18","is_not_latino_and_other","1.090","0.686","1.731","0.740","1.605"
"19","baseline_tobacco_history","1.000","0.983","1.018","0.986","1.015"
"20","has_partner","1.029","0.798","1.326","0.832","1.272"
"21","income_val","0.988","0.954","1.024","0.959","1.018"
"22","hour_coinflip_local","1.001","0.990","1.011","0.992","1.009"
"23","days_between_v1_and_coinflip_local","1.004","0.988","1.020","0.991","1.018"
"24","any_response_2qs","1.052","0.916","1.209","0.937","1.182"
"25","engagement_most_recent_eligible","2.400","1.820","3.164","1.904","3.024"
