"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)"," 0.106"," 0.048"," 0.012"," 0.201"," 0.027"," 0.185"," 2.238","74.000"," 0.028"
"alcohol_counts_lag1"," 0.134"," 0.140","-0.145"," 0.413","-0.099"," 0.367"," 0.959","74.000"," 0.341"
"(Intercept)","-1.395"," 0.260","-1.913","-0.877","-1.828","-0.962","-5.369","74.000"," 0.000"
"alcohol_counts_lag1","-0.064"," 0.149","-0.361"," 0.232","-0.312"," 0.183","-0.434","74.000"," 0.666"
"age"," 0.002"," 0.004","-0.005"," 0.009","-0.004"," 0.008"," 0.509","74.000"," 0.612"
"is_male","-0.131"," 0.147","-0.423"," 0.162","-0.375"," 0.114","-0.891","74.000"," 0.376"
"is_latino"," 0.204"," 0.148","-0.091"," 0.499","-0.042"," 0.450"," 1.379","74.000"," 0.172"
"is_not_latino_and_black"," 0.143"," 0.138","-0.131"," 0.418","-0.086"," 0.373"," 1.040","74.000"," 0.302"
"is_not_latino_and_other"," 0.117"," 0.192","-0.266"," 0.500","-0.203"," 0.437"," 0.610","74.000"," 0.543"
"baseline_tobacco_history"," 0.000"," 0.007","-0.013"," 0.013","-0.011"," 0.011","-0.021","74.000"," 0.983"
"has_partner"," 0.017"," 0.109","-0.200"," 0.233","-0.164"," 0.198"," 0.154","74.000"," 0.878"
"income_val","-0.007"," 0.016","-0.039"," 0.026","-0.034"," 0.020","-0.417","74.000"," 0.678"
"hour_coinflip_local"," 0.003"," 0.005","-0.008"," 0.014","-0.006"," 0.012"," 0.587","74.000"," 0.559"
"days_between_v1_and_coinflip_local"," 0.006"," 0.008","-0.009"," 0.021","-0.007"," 0.019"," 0.792","74.000"," 0.431"
"any_response_2qs"," 0.030"," 0.070","-0.109"," 0.169","-0.086"," 0.146"," 0.425","74.000"," 0.672"
"engagement_most_recent_eligible"," 0.877"," 0.134"," 0.611"," 1.143"," 0.655"," 1.100"," 6.568","74.000"," 0.000"
