"","Estimate","StdErr","95% LCL","95% UCL","90% LCL","90% UCL","t_value","df","p-value"
"(Intercept)","-0.012"," 0.056","-0.125"," 0.102","-0.106"," 0.083","-0.207","43.000"," 0.837"
"alcohol_counts_sum_past24hrs"," 0.043"," 0.095","-0.148"," 0.234","-0.116"," 0.202"," 0.455","43.000"," 0.651"
"(Intercept)","-1.341"," 0.333","-2.012","-0.670","-1.900","-0.781","-4.029","43.000"," 0.000"
"alcohol_counts_sum_past24hrs","-0.026"," 0.146","-0.322"," 0.269","-0.272"," 0.220","-0.180","43.000"," 0.858"
"age"," 0.002"," 0.005","-0.008"," 0.012","-0.006"," 0.010"," 0.389","43.000"," 0.699"
"is_male","-0.083"," 0.160","-0.405"," 0.240","-0.352"," 0.186","-0.518","43.000"," 0.607"
"is_latino"," 0.151"," 0.158","-0.167"," 0.469","-0.114"," 0.416"," 0.956","43.000"," 0.344"
"is_not_latino_and_black"," 0.021"," 0.184","-0.349"," 0.392","-0.287"," 0.330"," 0.117","43.000"," 0.908"
"is_not_latino_and_other","-0.013"," 0.210","-0.436"," 0.410","-0.365"," 0.339","-0.063","43.000"," 0.950"
"baseline_tobacco_history","-0.003"," 0.009","-0.022"," 0.016","-0.019"," 0.013","-0.309","43.000"," 0.759"
"has_partner"," 0.107"," 0.120","-0.134"," 0.348","-0.094"," 0.308"," 0.893","43.000"," 0.377"
"income_val","-0.026"," 0.019","-0.065"," 0.013","-0.059"," 0.006","-1.366","43.000"," 0.179"
"hour_coinflip_local"," 0.005"," 0.005","-0.006"," 0.016","-0.005"," 0.014"," 0.840","43.000"," 0.405"
"days_between_v1_and_coinflip_local"," 0.015"," 0.012","-0.009"," 0.038","-0.005"," 0.035"," 1.248","43.000"," 0.219"
"any_response_2qs"," 0.170"," 0.097","-0.025"," 0.365"," 0.007"," 0.333"," 1.758","43.000"," 0.086"
"engagement_most_recent_eligible"," 0.892"," 0.178"," 0.533"," 1.250"," 0.593"," 1.191"," 5.014","43.000"," 0.000"
